date,SOL,HYPE
2022-01-07,564036.8571428572,
2022-01-14,629625.0,
2022-01-21,653884.5714285715,
2022-01-28,750234.4285714285,
2022-02-04,709285.2857142857,
2022-02-11,648751.0,
2022-02-18,622954.4285714285,
2022-02-25,609809.1428571428,
2022-03-04,582100.8571428572,
2022-03-11,513340.28571428574,
2022-03-18,539138.2857142857,
2022-03-25,554638.2857142857,
2022-04-01,608708.8571428572,
2022-04-08,562997.4285714285,
2022-04-15,672961.0,
2022-04-22,833506.1428571428,
2022-04-29,1008095.1428571428,
2022-05-06,1117915.2857142857,
2022-05-13,1140161.142857143,
2022-05-20,1192672.0,
2022-05-27,1293922.2857142857,
2022-06-03,1138583.5714285714,
2022-06-10,1181591.0,
2022-06-17,997747.5714285715,
2022-06-24,1102595.2857142857,
2022-07-01,978582.4285714285,
2022-07-08,835371.8571428572,
2022-07-15,823518.1428571428,
2022-07-22,797332.5714285715,
2022-07-29,814267.5714285715,
2022-08-05,748121.7142857143,
2022-08-12,684245.4285714285,
2022-08-19,689401.4285714285,
2022-08-26,623997.7142857143,
2022-09-02,643426.5714285715,
2022-09-09,763948.5714285715,
2022-09-16,737989.0,
2022-09-23,740064.1428571428,
2022-09-30,718433.0,
2022-10-07,651125.0,
2022-10-14,695044.1428571428,
2022-10-21,556422.0,
2022-10-28,455290.4285714286,
2022-11-04,513323.4285714286,
2022-11-11,504338.85714285716,
2022-11-18,416291.4285714286,
2022-11-25,377165.4285714286,
2022-12-02,427738.5714285714,
2022-12-09,375596.28571428574,
2022-12-16,363612.4285714286,
2022-12-23,370879.4285714286,
2022-12-30,375968.71428571426,
2023-01-06,484328.5714285714,
2023-01-13,542882.8571428572,
2023-01-20,518960.28571428574,
2023-01-27,426123.85714285716,
2023-02-03,395486.28571428574,
2023-02-10,340368.5714285714,
2023-02-17,297604.0,
2023-02-24,266503.85714285716,
2023-03-03,278267.4285714286,
2023-03-10,261402.57142857142,
2023-03-17,267382.28571428574,
2023-03-24,284015.28571428574,
2023-03-31,249953.42857142858,
2023-04-07,232034.57142857142,
2023-04-14,230110.2857142857,
2023-04-21,254764.85714285713,
2023-04-28,293685.71428571426,
2023-05-05,412247.71428571426,
2023-05-12,442411.28571428574,
2023-05-19,488877.85714285716,
2023-05-26,313542.14285714284,
2023-06-02,330719.71428571426,
2023-06-09,244610.85714285713,
2023-06-16,232522.7142857143,
2023-06-23,240842.2857142857,
2023-06-30,307861.71428571426,
2023-07-07,272039.28571428574,
2023-07-14,268669.5714285714,
2023-07-21,267442.85714285716,
2023-07-28,248620.0,
2023-08-04,283408.85714285716,
2023-08-11,270860.28571428574,
2023-08-18,298530.85714285716,
2023-08-25,227957.2857142857,
2023-09-01,211493.7142857143,
2023-09-08,192399.85714285713,
2023-09-15,191582.7142857143,
2023-09-22,204409.7142857143,
2023-09-29,208966.42857142858,
2023-10-06,217602.42857142858,
2023-10-13,237107.42857142858,
2023-10-20,232821.7142857143,
2023-10-27,243498.14285714287,
2023-11-03,270555.71428571426,
2023-11-10,256705.0,
2023-11-17,333542.71428571426,
2023-11-24,439055.4285714286,
2023-12-01,384515.0,
2023-12-08,445947.4285714286,
2023-12-15,678219.0,
2023-12-22,943812.1428571428,
2023-12-29,747848.7142857143,
2024-01-05,607681.4285714285,
2024-01-12,585110.2857142857,
2024-01-19,622631.0,
2024-01-26,720926.2857142857,
2024-02-02,978634.5714285715,
2024-02-09,747940.4285714285,
2024-02-16,678693.7142857143,
2024-02-23,679750.5714285715,
2024-03-01,702335.7142857143,
2024-03-08,905402.0,
2024-03-15,1066386.857142857,
2024-03-22,1580071.142857143,
2024-03-29,1426405.142857143,
2024-04-05,1364105.857142857,
2024-04-12,1160718.0,
2024-04-19,1254034.857142857,
2024-04-26,1161955.142857143,
2024-05-03,1071861.0,
2024-05-10,1199382.142857143,
2024-05-17,1196879.857142857,
2024-05-24,1306028.142857143,
2024-05-31,1782622.0,
2024-06-07,1670951.2857142857,
2024-06-14,1573571.857142857,
2024-06-21,1577888.2857142857,
2024-06-28,1550177.0,
2024-07-05,1459804.4285714286,
2024-07-12,1466093.142857143,
2024-07-19,1786915.142857143,
2024-07-26,2001293.142857143,
2024-08-02,2006980.0,
2024-08-09,1633489.7142857143,
2024-08-16,1706942.857142857,
2024-08-23,1695476.2857142857,
2024-08-30,2490795.714285714,
2024-09-06,3266570.0,
2024-09-13,4310195.428571428,
2024-09-20,3683932.714285714,
2024-09-27,4024628.4285714286,
2024-10-04,3842225.285714286,
2024-10-11,4312115.285714285,
2024-10-18,5472322.142857143,
2024-10-25,6321025.428571428,
2024-11-01,6193990.857142857,
2024-11-08,6184901.142857143,
2024-11-15,6203071.571428572,
2024-11-22,7757125.714285715,
2024-11-29,7074153.142857143,
2024-12-06,6402316.714285715,25819.666666666668
2024-12-13,6080192.428571428,23925.714285714286
2024-12-20,6324243.285714285,39252.0
2024-12-27,5255045.428571428,27626.714285714286
2025-01-03,5594856.428571428,25893.571428571428
2025-01-10,6153479.428571428,26453.428571428572
2025-01-17,6191957.428571428,22178.0
2025-01-24,7144781.714285715,30922.14285714286
2025-01-31,6172041.285714285,25582.85714285714
2025-02-07,5390990.714285715,27938.428571428572
2025-02-14,6212194.571428572,22124.0
2025-02-21,5005178.714285715,24084.571428571428
2025-02-28,4460812.714285715,30678.85714285714
2025-03-07,4449401.285714285,27399.14285714286
2025-03-14,4031259.0,23357.285714285714
2025-03-21,4264941.428571428,20616.85714285714
2025-03-28,4346053.857142857,21803.85714285714
2025-04-04,3931947.5714285714,21062.714285714286
2025-04-11,4699415.0,22611.714285714286
2025-04-18,4714689.857142857,21089.285714285714
2025-04-25,4628002.714285715,23645.14285714286
2025-05-02,4385636.428571428,25603.14285714286
2025-05-09,4045471.285714286,31538.0
2025-05-16,4696673.142857143,32251.85714285714
2025-05-23,5892412.285714285,37031.42857142857
2025-05-30,5236248.857142857,52477.71428571428
2025-06-06,6018758.0,50712.0
2025-06-13,5210974.0,48647.71428571428
2025-06-20,4655003.428571428,45233.28571428572
2025-06-27,3978659.1428571427,42137.142857142855
2025-07-04,3946296.5714285714,41471.0
2025-07-11,4211450.0,46533.28571428572
2025-07-18,4705187.714285715,66468.28571428571
2025-07-25,4851288.0,61171.71428571428
2025-08-01,3979562.4285714286,58366.42857142857
2025-08-08,3683969.0,54219.42857142857
2025-08-15,3743972.5714285714,63439.857142857145
2025-08-22,3701950.285714286,54884.857142857145
2025-08-29,3509468.714285714,62243.42857142857
2025-09-05,3348123.0,60630.71428571428
2025-09-12,3464660.285714286,65373.71428571428
2025-09-19,3075534.5714285714,68443.0
2025-09-26,2815362.0,73488.57142857143
2025-10-03,2715575.4285714286,66950.57142857143
2025-10-10,2635598.8571428573,74613.0
2025-10-17,2906643.0,70394.0
2025-10-24,2987691.285714286,60180.57142857143
2025-10-31,2919933.1428571427,64152.57142857143
2025-11-07,3020906.0,64392.28571428572
2025-11-14,3066074.285714286,60920.71428571428
2025-11-21,2986804.0,61945.71428571428
2025-11-28,2823758.4285714286,57678.57142857143
2025-12-05,3013260.714285714,54685.0
2025-12-12,2959647.285714286,48209.0
2025-12-19,3040680.1428571427,52488.0
2025-12-26,2837204.714285714,42936.0
2026-01-02,2819932.1428571427,44125.42857142857
2026-01-09,3319349.5714285714,52258.857142857145
2026-01-16,4533721.857142857,47746.57142857143
2026-01-23,4918087.142857143,48790.57142857143
2026-01-30,5415386.428571428,56408.42857142857
2026-02-06,5251497.0,68994.0
