date,COIN_NET_INCOME,HOOD_NET_INCOME,CRCL_NET_INCOME
2022-03-31,-429659000.0000,-392000000.0000,
2022-06-30,-1093654000.0000,-295000000.0000,
2022-09-30,-544635000.0000,-175000000.0000,
2022-12-31,-557001000.0000,-166000000.0000,
2023-03-31,-78896000.0000,-511000000.0000,
2023-06-30,-97405000.0000,25000000.0000,
2023-09-30,-2265000.0000,-85000000.0000,
2023-12-31,273437000.0000,30000000.0000,
2024-03-31,1176245000.0000,157000000.0000,
2024-06-30,36150000.0000,188000000.0000,
2024-09-30,75495000.0000,150000000.0000,
2024-12-31,1291176000.0000,916000000.0000,
2025-03-31,65608000.0000,336000000.0000,
2025-06-30,1428900000.0000,386000000.0000,-482100000.0000
2025-09-30,432552000.0000,556000000.0000,214385000.0000
2025-12-31,-666733000.0000,605000000.0000,133406000.0000
2026-03-31,,350000000.0000,
