date,COIN_TOTAL_REVENUE,HOOD_TOTAL_REVENUE,CRCL_TOTAL_REVENUE
2022-03-31,1166436000.0000,299000000.0000,
2022-06-30,808325000.0000,318000000.0000,
2022-09-30,590339000.0000,361000000.0000,
2022-12-31,629108000.0000,380000000.0000,
2023-03-31,772529000.0000,441000000.0000,
2023-06-30,707911000.0000,486000000.0000,
2023-09-30,674148000.0000,467000000.0000,
2023-12-31,953795000.0000,471000000.0000,
2024-03-31,1637570000.0000,618000000.0000,
2024-06-30,1449628000.0000,682000000.0000,
2024-09-30,1205193000.0000,637000000.0000,
2024-12-31,2271637000.0000,1014000000.0000,
2025-03-31,2034295000.0000,927000000.0000,
2025-06-30,1497208000.0000,989000000.0000,658078000.0000
2025-09-30,1868693000.0000,1274000000.0000,739759000.0000
2025-12-31,1781129000.0000,1283000000.0000,
2026-03-31,,1067000000.0000,
