date,COIN_TRADING_VOLUME,HOOD_TRADING_VOLUME
2022-03-31,309000000000.0000,57000000000.0000
2022-06-30,217000000000.0000,163000000000.0000
2022-09-30,159000000000.0000,161300000000.0000
2022-12-31,145000000000.0000,130000000000.0000
2023-03-31,145000000000.0000,171100000000.0000
2023-06-30,92000000000.0000,164100000000.0000
2023-09-30,76000000000.0000,179800000000.0000
2023-12-31,154000000000.0000,179800000000.0000
2024-03-31,312000000000.0000,260900000000.0000
2024-06-30,226000000000.0000,265100000000.0000
2024-09-30,185000000000.0000,300500000000.0000
2024-12-31,439000000000.0000,494300000000.0000
2025-03-31,393000000000.0000,459300000000.0000
2025-06-30,237000000000.0000,552400000000.0000
2025-09-30,295000000000.0000,727400000000.0000
2025-12-31,271000000000.0000,792500000000.0000
2026-03-31,,704000000000.0000
