date,COIN_TRANSACTION_REVENUE,HOOD_TRANSACTION_REVENUE
2022-03-31,1013000000.0000,218000000.0000
2022-06-30,655200000.0000,202000000.0000
2022-09-30,365900000.0000,208000000.0000
2022-12-31,322100000.0000,186000000.0000
2023-03-31,374713000.0000,207000000.0000
2023-06-30,327100000.0000,193000000.0000
2023-09-30,288600000.0000,185000000.0000
2023-12-31,529300000.0000,200000000.0000
2024-03-31,1076700000.0000,329000000.0000
2024-06-30,780900000.0000,327000000.0000
2024-09-30,572500000.0000,319000000.0000
2024-12-31,1556000000.0000,672000000.0000
2025-03-31,1262200000.0000,583000000.0000
2025-06-30,764300000.0000,539000000.0000
2025-09-30,1046300000.0000,730000000.0000
2025-12-31,983000000.0000,776000000.0000
2026-03-31,,623000000.0000
