date,SOL,HYPE
2022-01-07,1271228.785833437,
2022-01-14,1170558.1798115608,
2022-01-21,993875.3296388693,
2022-01-28,761799.4470253139,
2022-02-04,914477.395603707,
2022-02-11,982244.5235107411,
2022-02-18,836726.4647626107,
2022-02-25,698272.212123179,
2022-03-04,778535.540357286,
2022-03-11,686614.6948675938,
2022-03-18,755887.9713155171,
2022-03-25,851018.8767254067,
2022-04-01,1035531.1439498924,
2022-04-08,859799.3210551315,
2022-04-15,766746.9808716621,
2022-04-22,842021.6196370668,
2022-04-29,725345.8517520771,
2022-05-06,654102.3693414107,
2022-05-13,437001.2192392255,
2022-05-20,347541.5742679857,
2022-05-27,299822.86456825316,
2022-06-03,261037.97300438597,
2022-06-10,252347.4552979398,
2022-06-17,201887.32655754208,
2022-06-24,312198.9887755328,
2022-07-01,322759.9596380369,
2022-07-08,313572.8757554178,
2022-07-15,341763.04376240075,
2022-07-22,386301.5811088027,
2022-07-29,385424.20673791453,
2022-08-05,405160.829459677,
2022-08-12,423690.3210120451,
2022-08-19,416547.8203924743,
2022-08-26,366313.45712839114,
2022-09-02,342447.1930500332,
2022-09-09,362186.6864862076,
2022-09-16,356111.0373878163,
2022-09-23,342492.88091722695,
2022-09-30,359119.53965690534,
2022-10-07,366678.00302171323,
2022-10-14,381491.63593827176,
2022-10-21,389833.0332500544,
2022-10-28,438009.5492327629,
2022-11-04,412784.8775248702,
2022-11-11,284674.2293492546,
2022-11-18,160319.1639056369,
2022-11-25,170946.52109545702,
2022-12-02,180245.92664238322,
2022-12-09,180522.6246733252,
2022-12-16,178244.67471077055,
2022-12-23,159789.99260171893,
2022-12-30,139096.96699808614,
2023-01-06,163523.17775476706,
2023-01-13,213467.89023228473,
2023-01-20,312678.2952462231,
2023-01-27,319750.96892026265,
2023-02-03,308777.23684667295,
2023-02-10,330969.11569326045,
2023-02-17,298839.9808935586,
2023-02-24,336690.85588217643,
2023-03-03,304218.2024599528,
2023-03-10,315044.55646276876,
2023-03-17,316843.71035422396,
2023-03-24,285419.4775265407,
2023-03-31,258081.06317784346,
2023-04-07,257374.61910385045,
2023-04-14,283027.8815160006,
2023-04-21,289266.3740711354,
2023-04-28,276789.2721690352,
2023-05-05,283169.2594523323,
2023-05-12,302548.1446804186,
2023-05-19,271129.0583531697,
2023-05-26,256181.80252543435,
2023-06-02,287190.55164841167,
2023-06-09,260634.6632963559,
2023-06-16,201729.2659376406,
2023-06-23,227475.1459881842,
2023-06-30,242573.06461240223,
2023-07-07,276597.9574419605,
2023-07-14,326325.3109331279,
2023-07-21,364682.3938143606,
2023-07-28,342411.8451346284,
2023-08-04,332414.25697307487,
2023-08-11,343132.66410306265,
2023-08-18,339472.19649733143,
2023-08-25,307744.9779145514,
2023-09-01,294696.7488299503,
2023-09-08,286717.62170258624,
2023-09-15,263968.3825653191,
2023-09-22,290756.16914546554,
2023-09-29,268452.89365701046,
2023-10-06,313436.95105867984,
2023-10-13,327851.53069340164,
2023-10-20,328313.6874005601,
2023-10-27,417857.9196353598,
2023-11-03,520816.3263154152,
2023-11-10,639093.9048134906,
2023-11-17,768420.1798707839,
2023-11-24,803112.1583368615,
2023-12-01,860148.9707154806,
2023-12-08,913268.8008775925,
2023-12-15,1269607.488797653,
2023-12-22,1998552.2395276267,
2023-12-29,4094635.6431542225,
2024-01-05,3378611.3027256825,
2024-01-12,2608731.892396271,
2024-01-19,3203989.9421384027,
2024-01-26,3682983.4577513784,
2024-02-02,5236149.645395966,
2024-02-09,3833968.542008175,
2024-02-16,3426681.686901531,
2024-02-23,2643687.0046690907,
2024-03-01,2377157.2654096107,
2024-03-08,4759562.244921936,
2024-03-15,13034166.242778216,
2024-03-22,27626938.52216017,
2024-03-29,18145025.878691714,
2024-04-05,19598255.539232254,
2024-04-12,15783325.89389176,
