date,BTC
2022-01-07,41527.197042645
2022-01-14,43120.854511081
2022-01-21,36508.799789831
2022-01-28,37852.579028033
2022-02-04,41673.839554309
2022-02-11,42445.388767938
2022-02-18,40073.49536237
2022-02-25,39316.162075786
2022-03-04,39200.299735574
2022-03-11,38775.175588407
2022-03-18,41837.413137976
2022-03-25,44331.777957064
2022-04-01,46270.200705854
2022-04-08,42315.709724218
2022-04-15,40586.597309387
2022-04-22,39756.848993471
2022-04-29,38650.550138093
2022-05-06,36116.394294983
2022-05-13,29310.728959858
2022-05-20,29256.813374416
2022-05-27,28646.652181932
2022-06-03,29714.14348715
2022-06-10,29101.298259647
2022-06-17,20473.052880795
2022-06-24,21262.713482956
2022-07-01,19407.447430262
2022-07-08,21858.818749218
2022-07-15,20794.811981437
2022-07-22,22696.90275429
2022-07-29,23847.583318739
2022-08-05,23225.036201943
2022-08-12,24411.379871523
2022-08-19,20945.83396605
2022-08-26,20271.322951706
2022-09-02,19941.451370047
2022-09-09,21359.582525579
2022-09-16,19764.411712044
2022-09-23,19291.904802452
2022-09-30,19476.926596004
2022-10-07,19457.308951251
2022-10-14,19198.107144952
2022-10-21,19173.280468859
2022-10-28,20591.241208099
2022-11-04,21150.315583912
2022-11-11,17080.215260565
2022-11-18,16707.022778987
2022-11-25,16524.449007721
2022-12-02,17084.873340471
2022-12-09,17149.824203925
2022-12-16,16623.757826144
2022-12-23,16791.455439165
2022-12-30,16604.020520373
2023-01-06,16960.232062475
2023-01-13,19941.780543296
2023-01-20,22705.833678899
2023-01-27,23082.858382123
2023-02-03,23451.577650775
2023-02-10,21630.132979576
2023-02-17,24628.824552173
2023-02-24,23172.286538019
2023-03-03,22367.43302247
2023-03-10,20195.228950273
2023-03-17,27466.67782983
2023-03-24,27595.494748375
2023-03-31,28516.784729689
2023-04-07,27934.438712849
2023-04-14,30468.408700591
2023-04-21,27300.157128516
2023-04-28,29339.994997549
2023-05-05,29520.32226897
2023-05-12,26787.690395918
2023-05-19,26884.37105959
2023-05-26,26717.987553572
2023-06-02,27247.740081457
2023-06-09,26469.581684007
2023-06-16,26327.325669454
2023-06-23,30629.244353336
2023-06-30,30480.781481944
2023-07-07,30315.265402352
2023-07-14,30311.827808131
2023-07-21,29914.682728359
2023-07-28,29314.097387098
2023-08-04,29087.938086008
2023-08-11,29396.84797142
2023-08-18,26042.838256849
2023-08-25,26044.036209289
2023-09-01,25812.330494425
2023-09-08,25907.22813725
2023-09-15,26634.631025001
2023-09-22,26572.038111553
2023-09-29,26917.199101638
2023-10-06,27958.19643735
2023-10-13,26841.136220644
2023-10-20,29677.392888476
2023-10-27,33899.09305644
2023-11-03,34731.381368968
2023-11-10,37344.24900072
2023-11-17,36527.760225307
2023-11-24,37738.931697471
2023-12-01,38688.258741791
2023-12-08,44202.176109436
2023-12-15,41992.014187224
2023-12-22,44003.696021644
2023-12-29,42074.707156188
2024-01-05,44113.699733891
2024-01-12,42893.929605505
2024-01-19,41600.940932545
2024-01-26,41862.93561094
2024-02-02,43170.6585616
2024-02-09,47143.242991071
2024-02-16,52166.434309762
2024-02-23,50841.081094771
2024-03-01,62426.640529192
2024-03-08,68315.251920783
2024-03-15,69497.763192946
2024-03-22,63509.044965231
2024-03-29,69919.055461486
2024-04-05,67978.610234085
2024-04-12,67252.105042266
2024-04-19,63988.818471786
2024-04-26,63802.330049259
2024-05-03,62839.340735694
2024-05-10,60888.216749572
2024-05-17,67053.123265096
2024-05-24,68539.91646553
2024-05-31,67474.954836984
2024-06-07,69325.362388472
2024-06-14,66011.078737137
2024-06-21,64071.62428471
2024-06-28,60317.096979451
2024-07-05,56739.862851072
2024-07-12,57899.288957496
2024-07-19,66689.54880735
2024-07-26,67920.296485703
2024-08-02,61407.295473975
2024-08-09,60912.588533351
2024-08-16,58881.925791512
2024-08-23,64049.685615556
2024-08-30,59156.246036464
2024-09-06,53923.356110719
2024-09-13,60620.627472958
2024-09-20,63128.224540748
2024-09-27,65791.002125417
2024-10-04,62103.010472833
2024-10-11,62392.340482932
2024-10-18,68465.619206687
2024-10-25,66585.665355014
2024-11-01,69507.922563956
2024-11-08,76550.021384561
2024-11-15,90947.975094437
2024-11-22,98927.494945534
2024-11-29,97453.247345104
2024-12-06,99973.851506598
2024-12-13,101352.229712923
2024-12-20,97691.434316927
2024-12-27,94331.947270531
2025-01-03,98084.342792808
2025-01-10,94736.626742097
2025-01-17,104160.693584842
2025-01-24,104835.19253556
2025-01-31,102382.394097222
2025-02-07,96558.456309667
2025-02-14,97488.481485365
2025-02-21,96135.155413053
2025-02-28,84441.901223713
2025-03-07,86773.335975554
2025-03-14,83971.709160646
