date,SOL,BNB,HYPE,XMR
2022-01-07,136.43,448.1,,
2022-01-14,146.13,489.51,,
2022-01-21,112.2,383.57,,
2022-01-28,91.29,385.84,,
2022-02-04,112.57,399.33,,
2022-02-11,96.44,399.81,,
2022-02-18,89.82,398.89,,
2022-02-25,92.69,374.67,,
2022-03-04,88.26,374.05,,
2022-03-11,80.64,371.8,,
2022-03-18,89.77,396.9,,
2022-03-25,98.55,410.15,,
2022-04-01,134.53,447.66,,
2022-04-08,109.83,421.27,,
2022-04-15,101.33,416.94,,
2022-04-22,100.5,406.45,,
2022-04-29,93.94,392.69,,
2022-05-06,81.63,378.89,,
2022-05-13,48.88,290.45,,
2022-05-20,49.41,301.95,,
2022-05-27,41.15,301.36,,
2022-06-03,38.24,298.36,,
2022-06-10,37.12,286.07,,
2022-06-17,30.7,215.64,,
2022-06-24,41.89,240.03,,
2022-07-01,32.83,216.65,,
2022-07-08,38.1,240.45,,
2022-07-15,37.35,238.46,,
2022-07-22,40.49,262.28,,
2022-07-29,41.9,293.9,,
2022-08-05,40.55,315.7,,
2022-08-12,45.46,327.88,,
2022-08-19,35.79,278.99,,
2022-08-26,31.68,279.3,,
2022-09-02,31.21,277.22,,
2022-09-09,34.66,293.14,,
2022-09-16,32.24,274.76,,
2022-09-23,33.66,276.45,,
2022-09-30,33.22,284.65,,
2022-10-07,32.96,282.16,,
2022-10-14,29.97,269.3,,
2022-10-21,28.08,269.88,,
2022-10-28,32.06,297.85,,
2022-11-04,33.72,354.36,,
2022-11-11,16.426,290.08,,
2022-11-18,13.257,273.89,,
2022-11-25,14.015,300.43,,
2022-12-02,13.703,293.49,,
2022-12-09,13.579,285.91,,
2022-12-16,12.239,230.74,,
2022-12-23,11.772,245.95,,
2022-12-30,9.877,245.74,,
2023-01-06,13.483,259.69,,
2023-01-13,18.289,293.67,,
2023-01-20,25.513,305.24,,
2023-01-27,24.441,308.07,,
2023-02-03,24.683,332.38,,
2023-02-10,20.088,305.52,,
2023-02-17,23.146,312.94,,
2023-02-24,23.06,302.11,,
2023-03-03,21.404,290.34,,
2023-03-10,18.152,277.07,,
2023-03-17,21.598,338.59,,
2023-03-24,20.646,321.82,,
2023-03-31,21.169,316.72,,
2023-04-07,20.438,310.22,,
2023-04-14,24.727,328.85,,
2023-04-21,21.254,321.12,,
2023-04-28,23.331,323.88,,153.14
2023-05-05,22.806,326.32,,158.12
2023-05-12,20.896,308.11,,153.77
2023-05-19,20.337,308.69,,150.36
2023-05-26,19.351,306.75,,150.51
2023-06-02,21.22,307.51,,145.97
2023-06-09,17.384,260.83,,143.08
2023-06-16,15.304,239.06,,134.67
2023-06-23,17.123,244.55,,154.46
2023-06-30,18.857,240.42,,168.31
2023-07-07,21.483,235.42,,165.38
2023-07-14,26.693,247.9,,160.44
2023-07-21,25.51,243.84,,161.92
2023-07-28,24.819,241.91,,162.89
2023-08-04,22.804,241.74,,158.48
2023-08-11,24.618,239.73,,156.76
2023-08-18,21.33,215.99,,143.43
2023-08-25,20.411,218.39,,139.99
2023-09-01,19.313,213.6,,140.66
2023-09-08,19.598,214.57,,143.82
2023-09-15,19.137,213.99,,147.58
2023-09-22,19.421,211.02,,145.0
2023-09-29,20.258,215.13,,146.72
2023-10-06,23.383,213.37,,151.79
2023-10-13,21.828,206.02,,153.44
2023-10-20,27.011,212.04,,154.66
2023-10-27,31.747,224.32,,160.77
2023-11-03,39.504,230.42,,170.77
2023-11-10,56.674,251.08,,170.99
2023-11-17,58.52,244.88,,162.93
2023-11-24,56.917,232.9,,170.28
2023-12-01,59.768,228.47,,171.67
2023-12-08,74.972,239.19,,174.23
2023-12-15,72.576,244.43,,168.07
2023-12-22,98.082,270.84,,176.92
2023-12-29,106.38,313.17,,166.34
2024-01-05,99.98,316.83,,155.6
2024-01-12,91.983,297.11,,151.97
2024-01-19,93.665,314.42,,158.43
2024-01-26,92.328,302.36,,159.3
2024-02-02,100.6,301.42,,168.98
2024-02-09,107.06,323.79,,121.57
2024-02-16,110.47,360.38,,122.73
2024-02-23,99.992,375.07,,123.75
2024-03-01,129.58,407.98,,144.35
2024-03-08,145.09,485.85,,147.08
2024-03-15,184.27,633.04,,142.23
2024-03-22,175.22,554.07,,135.16
2024-03-29,192.44,612.01,,132.64
2024-04-05,174.47,577.55,,126.82
2024-04-12,153.1,595.27,,122.37
2024-04-19,142.45,553.5,,117.14
2024-04-26,139.22,597.59,,120.25
2024-05-03,143.58,586.61,,125.09
2024-05-10,146.14,585.13,,132.6
2024-05-17,169.66,580.59,,134.85
2024-05-24,167.81,599.93,,141.02
2024-05-31,165.75,593.8,,148.35
2024-06-07,162.68,683.96,,154.29
2024-06-14,143.23,603.25,,170.27
2024-06-21,134.56,585.79,,160.03
2024-06-28,140.04,567.09,,167.84
2024-07-05,134.23,497.38,,154.97
2024-07-12,139.46,534.06,,159.82
2024-07-19,169.23,593.56,,161.25
2024-07-26,183.25,580.68,,161.35
2024-08-02,152.91,543.25,,158.07
2024-08-09,156.19,508.88,,153.05
2024-08-16,138.91,519.35,,148.51
2024-08-23,153.29,591.72,,172.95
2024-08-30,137.92,535.05,,168.19
2024-09-06,124.94,487.01,,165.15
2024-09-13,139.06,556.11,,170.35
2024-09-20,146.75,569.23,,175.58
2024-09-27,157.7,607.22,,164.09
2024-10-04,143.33,555.59,,148.81
2024-10-11,145.6,573.2,,152.12
2024-10-18,155.03,598.84,,159.75
2024-10-25,165.0,574.4,,157.53
2024-11-01,166.16,572.59,,156.39
2024-11-08,200.03,598.3,,165.51
2024-11-15,218.65,619.33,,142.12
2024-11-22,257.22,633.86,,162.42
2024-11-29,243.5,655.23,,159.76
2024-12-06,237.14,731.06,13.848,198.75
2024-12-13,225.01,726.08,19.509,207.48
2024-12-20,194.51,677.89,29.81,196.39
2024-12-27,184.07,690.9,27.119,193.17
2025-01-03,218.02,715.6,24.49,201.31
2025-01-10,187.61,693.09,20.665,199.87
2025-01-17,219.51,722.28,23.133,230.43
2025-01-24,253.28,680.46,23.113,220.24
2025-01-31,231.82,677.17,26.916,238.61
2025-02-07,191.91,577.14,22.876,205.5
2025-02-14,199.51,660.01,26.2,229.88
2025-02-21,168.94,646.72,25.058,232.97
2025-02-28,148.05,587.65,19.939,217.91
2025-03-07,139.33,594.32,15.128,216.56
2025-03-14,133.43,587.0,13.798,210.26
2025-03-21,128.45,634.4,15.913,213.05
2025-03-28,129.42,619.25,13.416,217.62
2025-04-04,122.71,597.56,11.886,215.01
2025-04-11,121.36,585.85,15.673,206.57
2025-04-18,133.91,591.42,17.056,215.06
2025-04-25,150.75,599.39,18.407,227.83
2025-05-02,148.02,600.34,20.812,279.81
2025-05-09,172.94,667.37,24.734,316.41
2025-05-16,167.4,646.35,26.818,333.89
2025-05-23,174.04,656.55,33.057,391.65
2025-05-30,156.14,654.97,32.82,325.09
2025-06-06,147.75,642.4,33.34,323.0
2025-06-13,148.56,654.82,42.3,313.01
2025-06-20,140.03,641.52,33.365,310.47
2025-06-27,142.04,645.46,36.62,307.9
2025-07-04,147.64,653.1,38.993,313.4
2025-07-11,163.05,690.17,46.392,330.18
2025-07-18,177.24,730.16,44.379,321.53
2025-07-25,186.9,786.26,44.223,322.54
2025-08-01,162.6,757.24,37.598,297.19
2025-08-08,176.69,792.93,40.996,274.16
2025-08-15,185.67,827.51,47.805,235.73
2025-08-22,200.84,900.93,45.33,272.29
2025-08-29,205.08,862.37,44.435,262.36
2025-09-05,203.55,849.75,47.222,269.8
2025-09-12,242.09,925.37,55.222,284.12
2025-09-19,238.77,984.41,56.163,293.81
2025-09-26,205.04,959.97,44.822,287.88
2025-10-03,232.72,1190.3,49.475,323.8
2025-10-10,187.53,1103.5,37.366,293.27
2025-10-17,181.89,1070.6,35.496,291.07
2025-10-24,193.5,1108.4,39.325,327.39
2025-10-31,187.18,1088.1,43.702,335.03
2025-11-07,161.71,991.24,42.201,367.74
2025-11-14,138.91,915.15,37.522,391.68
2025-11-21,128.6,830.47,33.863,335.38
2025-11-28,137.27,886.8,34.97,411.11
2025-12-05,133.22,883.32,30.988,399.38
2025-12-12,132.22,881.2,28.616,405.73
2025-12-19,126.19,855.85,24.861,440.94
2025-12-26,122.23,834.22,25.79,444.93
2026-01-02,132.23,881.26,24.582,425.11
2026-01-09,135.89,896.7,25.054,451.73
2026-01-16,144.91,937.6,24.999,618.91
2026-01-23,127.36,891.32,22.641,513.47
2026-01-30,117.58,858.36,30.6,461.69
2026-02-06,87.383,657.26,32.372,321.64
2026-02-13,84.27,618.76,31.558,352.32
2026-02-20,84.635,625.86,30.366,331.59
2026-02-27,81.807,613.59,27.28,337.93
2026-03-06,84.629,627.2,31.021,352.16
2026-03-13,88.119,655.55,36.442,356.93
2026-03-20,89.794,641.76,39.538,348.74
2026-03-27,83.045,613.43,38.658,326.2
2026-04-03,80.353,587.84,35.593,316.9
2026-04-10,84.78,605.37,41.598,344.56
2026-04-17,88.704,643.31,44.622,348.97
2026-04-24,86.124,636.23,41.176,368.63
2026-05-01,83.719,615.14,41.13,379.99
2026-05-08,89.348,656.15,44.289,434.27
