date,gross_emissions_native
2018-01-01,1950.0
2018-01-02,2137.5
2018-01-03,1962.5
2018-01-04,2100.0
2018-01-05,1787.5
2018-01-06,2100.0
2018-01-07,2025.0
2018-01-08,2075.0
2018-01-09,2050.0
2018-01-10,2075.0
2018-01-11,2412.5
2018-01-12,2225.0
2018-01-13,1862.5
2018-01-14,1937.5
2018-01-15,1875.0
2018-01-16,1987.5
2018-01-17,2087.5
2018-01-18,2162.5
2018-01-19,2062.5
2018-01-20,2225.0
2018-01-21,2337.5
2018-01-22,2087.5
2018-01-23,2212.5
2018-01-24,2200.0
2018-01-25,1975.0
2018-01-26,1937.5
2018-01-27,1962.5
2018-01-28,1975.0
2018-01-29,1850.0
2018-01-30,2087.5
2018-01-31,1462.5
2018-02-01,2000.0
2018-02-02,2100.0
2018-02-03,1975.0
2018-02-04,2225.0
2018-02-05,2312.5
2018-02-06,2125.0
2018-02-07,1762.5
2018-02-08,1637.5
2018-02-09,1687.5
2018-02-10,1787.5
2018-02-11,1887.5
2018-02-12,2075.0
2018-02-13,2050.0
2018-02-14,2237.5
2018-02-15,1637.5
2018-02-16,1962.5
2018-02-17,1862.5
2018-02-18,2025.0
2018-02-19,2025.0
2018-02-20,1762.5
2018-02-21,2112.5
2018-02-22,1862.5
2018-02-23,1850.0
2018-02-24,1812.5
2018-02-25,2137.5
2018-02-26,1762.5
2018-02-27,2000.0
2018-02-28,1937.5
2018-03-01,2062.5
2018-03-02,1950.0
2018-03-03,2250.0
2018-03-04,1850.0
2018-03-05,1862.5
2018-03-06,1950.0
2018-03-07,1962.5
2018-03-08,2025.0
2018-03-09,1825.0
2018-03-10,1750.0
2018-03-11,1912.5
2018-03-12,2012.5
2018-03-13,1975.0
2018-03-14,1800.0
2018-03-15,1800.0
2018-03-16,1950.0
2018-03-17,1862.5
2018-03-18,1887.5
2018-03-19,1937.5
2018-03-20,1587.5
2018-03-21,1900.0
2018-03-22,1787.5
2018-03-23,1662.5
2018-03-24,1950.0
2018-03-25,1687.5
2018-03-26,1875.0
2018-03-27,1900.0
2018-03-28,1687.5
2018-03-29,1900.0
2018-03-30,2025.0
2018-03-31,1600.0
2018-04-01,2025.0
2018-04-02,1950.0
2018-04-03,2037.5
2018-04-04,1837.5
2018-04-05,1950.0
2018-04-06,1725.0
2018-04-07,2250.0
2018-04-08,2012.5
2018-04-09,1837.5
2018-04-10,2050.0
2018-04-11,2012.5
2018-04-12,1925.0
2018-04-13,2062.5
2018-04-14,1712.5
2018-04-15,2037.5
2018-04-16,1762.5
2018-04-17,2025.0
2018-04-18,2000.0
2018-04-19,2225.0
2018-04-20,1712.5
2018-04-21,1987.5
2018-04-22,2000.0
2018-04-23,1912.5
2018-04-24,1987.5
2018-04-25,1537.5
2018-04-26,1762.5
2018-04-27,1775.0
2018-04-28,1600.0
2018-04-29,1975.0
2018-04-30,1937.5
2018-05-01,1975.0
2018-05-02,1750.0
2018-05-03,1887.5
2018-05-04,1725.0
2018-05-05,2012.5
2018-05-06,1712.5
2018-05-07,1875.0
2018-05-08,1737.5
2018-05-09,2000.0
2018-05-10,1925.0
2018-05-11,1587.5
2018-05-12,2062.5
2018-05-13,1850.0
2018-05-14,1650.0
2018-05-15,1825.0
2018-05-16,2237.5
2018-05-17,1650.0
2018-05-18,1850.0
2018-05-19,1925.0
2018-05-20,1800.0
2018-05-21,1962.5
2018-05-22,1887.5
2018-05-23,2025.0
2018-05-24,1787.5
2018-05-25,2200.0
2018-05-26,2025.0
2018-05-27,2050.0
