date,cumulative_etf_flow
2019-07-24,463.2879949139929
2019-07-25,476.9028616008124
2019-07-26,466.06765333711
2019-07-27,463.8045201569315
2019-07-28,452.57047960668336
2019-07-29,2224920171.293258
2019-07-30,2221195364.5439506
2019-07-31,2290115611.5381217
2019-08-01,2343834378.543133
2019-08-02,2434461305.4981465
2019-08-03,2505012448.137988
2019-08-04,2512852331.57785
2019-08-05,2707189440.8181047
2019-08-06,2737639396.908089
2019-08-07,2720694041.643785
2019-08-08,2747870659.4588523
2019-08-09,2753292041.4140153
2019-08-10,2703460449.550015
2019-08-11,2652378783.735988
2019-08-12,2654596889.456707
2019-08-13,2601278726.193577
2019-08-14,2441603746.255204
2019-08-15,2337542388.9558153
2019-08-16,2383911848.7930164
2019-08-17,2400673827.1695
2019-08-18,2396392740.651678
2019-08-19,2468684047.5573316
2019-08-20,2504443140.674084
2019-08-21,2382000835.587062
2019-08-22,2340715605.156644
2019-08-23,2387476947.025823
2019-08-24,2366757034.1034617
2019-08-25,2354150158.277475
2019-08-26,2405140007.925326
2019-08-27,2375973529.0666084
2019-08-28,2347801794.554889
2019-08-29,2222571714.5046067
2019-08-30,2224162811.2102947
2019-08-31,2299180413.870647
2019-09-01,2302474662.6131434
2019-09-02,2373139301.887857
2019-09-03,2506606989.945819
2019-09-04,2523804643.0776167
2019-09-05,2523791053.4422884
2019-09-06,2547075143.038402
2019-09-07,2494058533.2256145
2019-09-08,2503385169.7519073
2019-09-09,2467456764.422662
2019-09-10,2450249690.7570586
2019-09-11,2412630509.956611
2019-09-12,2446775149.138798
2019-09-13,2470632019.9074597
2019-09-14,2475194191.9075303
2019-09-15,2470936401.5686245
2019-09-16,2457055300.650221
2019-09-17,2447730990.0784254
2019-09-18,2441913700.307112
2019-09-19,2392883205.142737
2019-09-20,2436343707.362173
2019-09-21,2407436818.2679152
2019-09-22,2391234843.3336596
2019-09-23,2371190636.8628907
2019-09-24,2267359089.1117234
2019-09-25,2029129407.102288
2019-09-26,1981219975.4308035
2019-09-27,1927573821.247601
2019-09-28,1956702707.470237
2019-09-29,1936366961.0258741
2019-09-30,1929931451.5129156
2019-10-01,1994758020.6902566
2019-10-02,1974730340.7588372
2019-10-03,1971338832.755772
2019-10-04,1951639365.1377351
2019-10-05,1940695894.889581
2019-10-06,1914861262.9348633
2019-10-07,1921771320.9810472
2019-10-08,1962386327.4862528
2019-10-09,1992801169.9063694
2019-10-10,2050164392.2484756
2019-10-11,2040029213.1166832
2019-10-12,2020976532.7458405
2019-10-13,2026906675.4242482
2019-10-14,2016038804.882533
2019-10-15,2012238775.5900102
2019-10-16,1992205236.8701367
2019-10-17,2074824301.2805455
2019-10-18,2073086473.7475262
2019-10-19,2071816041.4962544
2019-10-20,2084038942.204127
2019-10-21,2157872873.503486
2019-10-22,2156453978.119106
2019-10-23,2042346990.2418904
2019-10-24,1958730744.147089
2019-10-25,2060275392.8698053
2019-10-26,2432907335.288538
2019-10-27,2456769125.886441
2019-10-28,2481732666.968442
2019-10-29,2458966308.9751296
2019-10-30,2415354871.1800904
2019-10-31,2407840674.958109
2019-11-01,2403265626.5545363
2019-11-02,2433497311.1662707
2019-11-03,2422005413.624825
2019-11-04,2426147829.8814073
2019-11-05,2450348063.6054816
2019-11-06,2449421452.6613865
2019-11-07,2427956425.6646767
2019-11-08,2364686557.5977535
2019-11-09,2313749405.6992626
2019-11-10,2331988701.72597
2019-11-11,2315472210.4402094
2019-11-12,2295528889.1560574
2019-11-13,2298924393.5384674
2019-11-14,2281158420.098246
2019-11-15,2248855430.5345874
2019-11-16,2230308212.2096567
2019-11-17,2242726504.320519
2019-11-18,2214831790.8038735
2019-11-19,2142197229.2578063
2019-11-20,2134319669.8429334
2019-11-21,2067411937.5715303
2019-11-22,1932518245.3029068
2019-11-23,1895909849.7143118
2019-11-24,1872185829.104661
2019-11-25,1825939409.8834958
2019-11-26,1872265552.7056408
2019-11-27,1895881446.0874043
2019-11-28,1966775352.542516
2019-11-29,1991590125.0778537
2019-11-30,2007204177.3721704
2019-12-01,1932171227.3706968
2019-12-02,1917598361.8179717
2019-12-03,1918813584.8763723
2019-12-04,1906943572.8214524
2019-12-05,1919262528.6729589
2019-12-06,1938607361.529968
2019-12-07,1971317001.729526
2019-12-08,1962744536.464313
2019-12-09,1956127703.887099
2019-12-10,1915291275.7739718
2019-12-11,1890173000.1380231
2019-12-12,1879805257.0913353
2019-12-13,1894477833.501574
2019-12-14,1878537409.0837126
2019-12-15,1858323582.7210698
2019-12-16,1846168145.594153
2019-12-17,1784486394.8589225
2019-12-18,1769142471.1945744
2019-12-19,1871252916.5612426
2019-12-20,1873088378.5576487
2019-12-21,1872376595.1615882
2019-12-22,1890629392.2759235
2019-12-23,1962367599.2267435
2019-12-24,1913409684.2440677
2019-12-25,1890790299.227952
2019-12-26,1892883762.4990556
2019-12-27,1886180011.1794677
2019-12-28,1912218925.767877
2019-12-29,1924209961.849405
2019-12-30,1915384513.216445
2019-12-31,1889422508.0414984
2020-01-01,1886491581.3583212
2020-01-02,1857719453.157596
2020-01-03,1886608610.2547295
2020-01-04,1916246274.6292021
2020-01-05,1942891760.125307
2020-01-06,1967847632.8114944
2020-01-07,2066447115.003219
2020-01-08,2147885152.2237477
2020-01-09,2065549022.3252428
2020-01-10,2058933537.2970316
2020-01-11,2117778043.6597888
2020-01-12,2118209901.691796
2020-01-13,2137811733.0453146
2020-01-14,2278486074.3186555
2020-01-15,2336729554.980027
2020-01-16,2326054915.9904337
2020-01-17,2368210411.351034
2020-01-18,2381674244.9665
2020-01-19,2372721828.0179634
2020-01-20,2331933427.268894
2020-01-21,2338791415.877983
2020-01-22,2407274126.3889203
2020-01-23,2360555326.5204864
2020-01-24,2382106970.6505213
2020-01-25,2365368194.4328423
2020-01-26,2395696142.251156
2020-01-27,2472601739.2347765
2020-01-28,2560007612.043045
2020-01-29,2643904425.383208
2020-01-30,2657863936.30136
2020-01-31,2650601509.0236144
2020-02-01,2656680477.325209
2020-02-02,2658951317.792448
2020-02-03,2648068030.487906
2020-02-04,2611432900.918726
2020-02-05,2662802345.5229983
2020-02-06,2744707976.5452657
2020-02-07,2794286191.058182
2020-02-08,2802979979.0485773
2020-02-09,2875327584.61079
2020-02-10,2843796221.371089
2020-02-11,2850143849.8369746
2020-02-12,2980784317.833064
2020-02-13,2982753519.1105123
2020-02-14,2973753469.286948
2020-02-15,2942591028.497142
2020-02-16,2873388038.6013994
2020-02-17,2823060745.8557987
2020-02-18,2859306029.82019
2020-02-19,2940620949.996067
2020-02-20,2797960646.376723
2020-02-21,2842344882.707874
2020-02-22,2836805715.632716
2020-02-23,2888814017.280381
