date,fees
2018-01-01,7192315.024382861
2018-01-02,10116512.685158072
2018-01-03,11977248.890864763
2018-01-04,14270913.753259575
2018-01-05,12865438.134191394
2018-01-06,11833815.948059388
2018-01-07,10909463.086022383
2018-01-08,10837892.457546985
2018-01-09,11669457.155559227
2018-01-10,10120986.39931988
2018-01-11,10293734.749150364
2018-01-12,9383935.113091674
2018-01-13,7650389.714618134
2018-01-14,7080967.060482771
2018-01-15,5980574.83633801
2018-01-16,6922093.995806348
2018-01-17,7810480.477098801
2018-01-18,7724109.524182018
2018-01-19,6517290.610119411
2018-01-20,5025522.410068841
2018-01-21,3774103.7002189346
2018-01-22,3427389.289817653
2018-01-23,3224781.587093087
2018-01-24,3182338.2989815027
2018-01-25,2439317.094612934
2018-01-26,2395863.317079197
2018-01-27,1962808.2628351762
2018-01-28,1733285.6868377374
2018-01-29,1617139.4868740162
2018-01-30,1601356.3004694507
2018-01-31,1640634.1796069832
2018-02-01,1941348.7138901507
2018-02-02,2422666.4638977656
2018-02-03,1321602.7769456932
2018-02-04,925655.9503057776
2018-02-05,1190664.0806556246
2018-02-06,1266722.053241816
2018-02-07,940194.4056270559
2018-02-08,722231.2517109335
2018-02-09,764414.1082545639
2018-02-10,761394.1274417128
2018-02-11,506166.237624276
2018-02-12,623527.982308483
2018-02-13,584125.4198022541
2018-02-14,601116.4808567101
2018-02-15,648014.6916828465
2018-02-16,591617.3408007666
2018-02-17,535349.6278413774
2018-02-18,469169.00382470945
2018-02-19,565237.349996084
2018-02-20,600777.5011528201
2018-02-21,405751.33571688965
2018-02-22,377258.0127633817
2018-02-23,761804.7805247282
2018-02-24,936341.2857680041
2018-02-25,401953.84110183956
2018-02-26,478327.79250896774
2018-02-27,541314.4638585834
2018-02-28,530774.4786319444
2018-03-01,565302.0909220631
2018-03-02,466272.002494786
2018-03-03,431118.48125577066
2018-03-04,377718.3507934048
2018-03-05,513287.4364804632
2018-03-06,399500.4969437
2018-03-07,348366.0025421195
2018-03-08,335672.6028060389
2018-03-09,323242.7160785615
2018-03-10,358063.82723319874
2018-03-11,376792.0372257201
2018-03-12,308998.67449582985
2018-03-13,559224.894789382
2018-03-14,307702.59940618346
2018-03-15,306339.3757201069
2018-03-16,252633.32846829353
2018-03-17,173487.62597398748
2018-03-18,208182.08883550283
2018-03-19,265960.85585238616
2018-03-20,280115.4100324915
2018-03-21,278306.57449753734
2018-03-22,242214.44770265993
2018-03-23,231713.27611183806
2018-03-24,187639.25198841037
2018-03-25,171535.35728160964
2018-03-26,220905.05446932538
2018-03-27,215591.55535863555
2018-03-28,191074.15832335877
2018-03-29,193860.3061964932
2018-03-30,177705.8439820877
2018-03-31,140024.99807049902
2018-04-01,124984.88516412773
2018-04-02,151467.70761170037
2018-04-03,187574.03247273923
2018-04-04,169893.85407070405
2018-04-05,167703.75414273585
2018-04-06,228900.06442999528
2018-04-07,187020.91987244497
2018-04-08,146802.12463992916
2018-04-09,152001.41169182802
2018-04-10,156995.4954311224
2018-04-11,157570.52584078218
2018-04-12,279831.5370469601
2018-04-13,285297.9487258622
2018-04-14,187645.05280707887
2018-04-15,200712.4190705899
2018-04-16,206642.67688406323
2018-04-17,205793.83161255583
2018-04-18,205010.24388858007
2018-04-19,229056.24077798097
2018-04-20,246679.23043280834
2018-04-21,252199.7593470937
2018-04-22,190633.9086524758
2018-04-23,258748.4112932434
2018-04-24,635563.9920174507
2018-04-25,809557.1500211658
2018-04-26,623290.5207655206
2018-04-27,497357.9252924924
2018-04-28,387996.1359243357
2018-04-29,325336.12811366835
2018-04-30,337749.34777853114
2018-05-01,286595.6122236598
2018-05-02,354751.1494927303
2018-05-03,376320.95033509086
2018-05-04,379394.01509574894
2018-05-05,314261.2911280865
2018-05-06,299802.2769661931
2018-05-07,334168.04196817236
2018-05-08,313774.80689148256
2018-05-09,282366.7831767972
2018-05-10,239603.06415271817
2018-05-11,324556.3765448008
2018-05-12,240749.63346113169
2018-05-13,202671.96073534104
2018-05-14,306635.65473803773
2018-05-15,320586.99636365945
2018-05-16,269974.42114759923
2018-05-17,435488.26680328394
2018-05-18,575345.7814747065
2018-05-19,257067.24853596883
2018-05-20,210989.961196293
2018-05-21,261420.77278890525
2018-05-22,212439.7270366943
2018-05-23,232887.55994954502
2018-05-24,225039.6438037588
2018-05-25,226977.35672369253
2018-05-26,165002.81154126793
2018-05-27,142656.29442026856
2018-05-28,207102.84183278095
2018-05-29,213379.72220412642
2018-05-30,167265.8759678663
2018-05-31,161543.51969821713
2018-06-01,152547.430424457
2018-06-02,123187.15516480237
2018-06-03,116946.71965838646
2018-06-04,154577.91300012585
2018-06-05,140240.75862803805
2018-06-06,147989.1302329048
2018-06-07,157376.29524624947
2018-06-08,135272.43866476743
2018-06-09,138715.15283627907
2018-06-10,113023.6914957312
2018-06-11,169739.90776459558
2018-06-12,144185.03682631213
2018-06-13,236985.4447924966
2018-06-14,186166.67514496978
2018-06-15,148602.89721415154
2018-06-16,106526.29519393122
2018-06-17,150772.49793280108
2018-06-18,117009.82959530846
2018-06-19,562245.5927335912
2018-06-20,1364933.9658477665
2018-06-21,491910.7964691926
2018-06-22,419727.3062935074
2018-06-23,197039.393187602
2018-06-24,166502.17152417812
2018-06-25,216468.16552154996
2018-06-26,196323.02869817926
2018-06-27,196716.920509305
2018-06-28,159696.12853787662
2018-06-29,169459.59104506907
2018-06-30,150275.47473781198
2018-07-01,106011.45060225713
2018-07-02,154867.65655548757
2018-07-03,181300.12416746464
2018-07-04,141390.74983437138
2018-07-05,129225.019999354
2018-07-06,143310.11465025815
2018-07-07,112008.4133241463
2018-07-08,104830.09638114666
2018-07-09,132473.59884689064
2018-07-10,144099.78267254075
2018-07-11,130284.85612761788
2018-07-12,116095.91033309355
2018-07-13,122063.32584578695
2018-07-14,93771.02028387257
2018-07-15,97012.02808339758
2018-07-16,159191.0712830865
2018-07-17,182161.43680146817
2018-07-18,233441.4561723939
2018-07-19,214556.73587597543
2018-07-20,169276.76847054742
2018-07-21,128236.05685114938
2018-07-22,109254.09649128854
2018-07-23,201260.04744311905
2018-07-24,249664.0115337002
2018-07-25,218470.91462352852
2018-07-26,189348.212396808
2018-07-27,168804.25698076515
2018-07-28,137208.5242071484
2018-07-29,128462.66217483202
2018-07-30,201192.7080871357
2018-07-31,197967.39749027512
2018-08-01,162014.86997364284
2018-08-02,190092.10597902804
2018-08-03,172060.94181533108
2018-08-04,120516.67578805538
2018-08-05,95908.51232510638
2018-08-06,122941.94030121637
2018-08-07,124941.17606454657
2018-08-08,129890.58385798098
2018-08-09,135524.78830912468
2018-08-10,125887.96867174655
2018-08-11,95501.4561561898
2018-08-12,80719.27564653577
2018-08-13,125182.26185484703
2018-08-14,164349.5672746779
2018-08-15,138914.40707235545
2018-08-16,151726.16865530322
2018-08-17,163407.7749092227
2018-08-18,105006.06257732416
2018-08-19,110380.3699942573
2018-08-20,181495.19414933288
2018-08-21,160079.69380085918
2018-08-22,153817.13900713774
2018-08-23,125911.15203022782
2018-08-24,128029.67899291866
2018-08-25,141881.97271727366
2018-08-26,187066.63184138812
2018-08-27,225687.39430567328
2018-08-28,319929.7189700415
2018-08-29,166638.1571718371
2018-08-30,169289.03382523032
2018-08-31,177491.83148138374
2018-09-01,138540.9307012765
2018-09-02,119100.17897676938
2018-09-03,144607.9091102049
2018-09-04,177411.17356254638
2018-09-05,215309.53973961016
2018-09-06,203331.56053491996
2018-09-07,178639.57745229686
2018-09-08,116326.22194151033
2018-09-09,115012.0586605737
2018-09-10,126005.9084842468
2018-09-11,146139.93523152536
2018-09-12,151391.96736168023
2018-09-13,131662.44290792695
2018-09-14,137923.3119198655
2018-09-15,102524.18943321523
2018-09-16,85037.65760193329
2018-09-17,109112.60451374699
2018-09-18,120681.17371916202
2018-09-19,109119.77198012215
2018-09-20,118554.3526939541
2018-09-21,172983.22446551188
2018-09-22,125872.43959097363
2018-09-23,97158.1122906015
2018-09-24,102296.59456591924
2018-09-25,130870.51811620819
2018-09-26,130121.06389147707
2018-09-27,158589.76465238107
2018-09-28,191865.85316632068
2018-09-29,126221.3178442342
2018-09-30,102226.16280423806
2018-10-01,144008.80201565864
2018-10-02,167830.4681664168
2018-10-03,138853.39367466402
2018-10-04,123082.00967547958
2018-10-05,141274.4834547174
2018-10-06,115828.66721867833
2018-10-07,86042.14133130897
2018-10-08,111745.2803699828
2018-10-09,110560.12475516097
2018-10-10,102909.69003810632
2018-10-11,114819.63063865353
2018-10-12,115943.15013805647
2018-10-13,83891.74151186319
2018-10-14,78587.0435370368
2018-10-15,153816.62000429575
2018-10-16,128186.82431063644
2018-10-17,125084.26639246686
2018-10-18,117701.43817009087
2018-10-19,114496.3731158886
2018-10-20,93581.26408568701
2018-10-21,81386.07022677134
2018-10-22,108757.05784431324
2018-10-23,107340.50755048696
2018-10-24,109806.60493568734
