date,mc
2018-01-01,257079617264.841
2018-01-02,261505188675.858
2018-01-03,268124738814.997
2018-01-04,307774011688.352
2018-01-05,307926110569.528
2018-01-06,286074127681.138
2018-01-07,266976271422.561
2018-01-08,262044268423.305
2018-01-09,260474112841.845
2018-01-10,236008991341.729
2018-01-11,247945818276.331
2018-01-12,255265724750.927
2018-01-13,243252295974.261
2018-01-14,242193794408.733
2018-01-15,197043955228.792
2018-01-16,191882616843.447
2018-01-17,194496634731.302
2018-01-18,197698672432.581
2018-01-19,222978421656.463
2018-01-20,196828374433.092
2018-01-21,184878210439.398
2018-01-22,183260375707.762
2018-01-23,189730563330.713
2018-01-24,188880475665.027
2018-01-25,185867144988.132
2018-01-26,192805209257.314
2018-01-27,196359635508.995
2018-01-28,187828526722.435
2018-01-29,186776632503.018
2018-01-30,168188285150.77
2018-01-31,170304196700.157
2018-02-01,152744180864.164
2018-02-02,148715185541.376
2018-02-03,151507305722.97
2018-02-04,140081544557.235
2018-02-05,115444836533.448
2018-02-06,129936854004.417
2018-02-07,128271617562.325
2018-02-08,138345016554.785
2018-02-09,145812043727.555
2018-02-10,144544944416.748
2018-02-11,137716289625.309
2018-02-12,150256428069.512
2018-02-13,143645913955.803
2018-02-14,159007423075.024
2018-02-15,170569769073.988
2018-02-16,171309236631.063
2018-02-17,185692327611.288
2018-02-18,177561296505.315
2018-02-19,187364222442.605
2018-02-20,194121879194.226
2018-02-21,168362084194.477
2018-02-22,169362253983.195
2018-02-23,173922837770.066
2018-02-24,164497574061.059
2018-02-25,163790896885.658
2018-02-26,174886939893.198
2018-02-27,180884108725.43
2018-02-28,174778709347.899
2018-03-01,183463718171.257
2018-03-02,187514886761.388
2018-03-03,191899353575.24
2018-03-04,190747933122.937
2018-03-05,194821583687.435
2018-03-06,181342656441.092
2018-03-07,169056252057.669
2018-03-08,159289105130.238
2018-03-09,156862284242.875
2018-03-10,150359761907.831
2018-03-11,160888688653.477
2018-03-12,156177221215.631
2018-03-13,155921695042.49
2018-03-14,140553335048.276
2018-03-15,141449655895.935
2018-03-16,144184737078.277
2018-03-17,136472702736.86
2018-03-18,139102798580.577
2018-03-19,146274523240.434
2018-03-20,151135311240.403
2018-03-21,151888445786.249
2018-03-22,147943048662.132
2018-03-23,149451318665.614
2018-03-24,146022681302.796
2018-03-25,143623891714.181
