date,price
2018-01-01,15321.932851764
2018-01-02,15583.885537759
2018-01-03,15976.365194174
2018-01-04,18336.922980169
2018-01-05,18343.662493407
2018-01-06,17039.873913849
2018-01-07,15900.365021601
2018-01-08,15604.72340824
2018-01-09,15509.270126817
2018-01-10,14050.569606354
2018-01-11,14759.294629915
2018-01-12,15193.314897985
2018-01-13,14476.588971369
2018-01-14,14411.997706918
2018-01-15,11723.913520666
2018-01-16,11415.392844277
2018-01-17,11569.424992086
2018-01-18,11758.469332765
2018-01-19,13260.271187279
2018-01-20,11703.50486286
2018-01-21,10991.59501308
2018-01-22,10894.00090534
2018-01-23,11277.115970449
2018-01-24,11225.254456885
2018-01-25,11044.907236574
2018-01-26,11456.21350628
2018-01-27,11665.696930085
2018-01-28,11157.663887898
2018-01-29,11095.210689127
2018-01-30,9989.689776597
2018-01-31,10114.495086226
2018-02-01,9070.555449374
2018-02-02,8830.163510055
2018-02-03,8994.914866077
2018-02-04,8315.517491436
2018-02-05,6852.052700515
2018-02-06,7711.220328941
2018-02-07,7611.610277789
2018-02-08,8208.572084497
2018-02-09,8650.71675043
2018-02-10,8574.67763849
2018-02-11,8168.6377798
2018-02-12,8911.398574208
2018-02-13,8518.269076191
2018-02-14,9428.025607162
2018-02-15,10112.580143447
2018-02-16,10155.277055526
2018-02-17,11006.647685962
2018-02-18,10523.429305801
2018-02-19,11103.09003615
2018-02-20,11502.37704964
2018-02-21,9973.592119519
2018-02-22,10032.863112314
2018-02-23,10301.883609336
2018-02-24,9742.628190065
2018-02-25,9699.517181515
2018-02-26,10355.578126486
2018-02-27,10709.388431046
2018-02-28,10346.664931035
2018-03-01,10859.552194389
2018-03-02,11098.075809251
2018-03-03,11356.041601672
2018-03-04,11286.676289169
2018-03-05,11526.420930291
2018-03-06,10727.716249205
2018-03-07,9999.682486047
2018-03-08,9420.854889586
2018-03-09,9276.33759031
2018-03-10,8890.865803996
2018-03-11,9512.456112861
2018-03-12,9232.7058798
2018-03-13,9216.530976268
2018-03-14,8307.223386266
2018-03-15,8359.365283341
2018-03-16,8520.008159172
2018-03-17,8063.409792123
2018-03-18,8217.842199961
2018-03-19,8640.521430243
2018-03-20,8926.8204962
2018-03-21,8970.317906279
2018-03-22,8736.385769098
2018-03-23,8824.592831779
2018-03-24,8621.150792258
2018-03-25,8478.638195589
2018-03-26,8186.196062814
2018-03-27,7836.763044253
2018-03-28,7930.779540928
2018-03-29,7126.895192567
2018-03-30,6897.268577869
2018-03-31,6975.275314021
2018-04-01,6836.572327297
2018-04-02,7080.417232313
2018-04-03,7464.356094067
2018-04-04,6845.315978269
2018-04-05,6855.422304607
2018-04-06,6628.754455856
2018-04-07,6884.47723506
2018-04-08,6984.808965974
2018-04-09,6778.491570077
2018-04-10,6829.316503795
2018-04-11,6925.101995477
2018-04-12,7836.396993999
2018-04-13,7845.752840106
2018-04-14,7897.719930858
2018-04-15,8258.067083698
2018-04-16,8030.999261953
2018-04-17,7873.635510103
2018-04-18,8097.418233103
2018-04-19,8277.460639163
2018-04-20,8499.450008715
2018-04-21,8878.428260297
2018-04-22,8769.011999473
2018-04-23,8881.391704345
2018-04-24,9716.489757331
2018-04-25,8825.202500069
2018-04-26,9221.868026184
2018-04-27,8940.381122007
2018-04-28,9249.659525089
2018-04-29,9325.628851047
2018-04-30,9198.189509973
2018-05-01,9024.387511777
2018-05-02,9122.65301383
2018-05-03,9551.135183816
2018-05-04,9634.538225972
2018-05-05,9766.244485489
2018-05-06,9583.871745501
2018-05-07,9308.265025722
2018-05-08,9149.517833147
2018-05-09,9248.960395584
2018-05-10,8969.940375743
2018-05-11,8405.560563242
2018-05-12,8480.580376126
2018-05-13,8683.986203143
2018-05-14,8696.974003873
2018-05-15,8473.348649054
2018-05-16,8343.125221695
2018-05-17,8056.053192375
2018-05-18,8202.825409552
2018-05-19,8180.627009914
2018-05-20,8443.260245915
2018-05-21,8354.996335917
2018-05-22,8009.299506783
2018-05-23,7556.316042921
2018-05-24,7563.435465443
2018-05-25,7472.022601749
2018-05-26,7328.871674364
2018-05-27,7326.643940179
2018-05-28,7111.06892467
2018-05-29,7451.230837265
2018-05-30,7380.85155771
2018-05-31,7460.166949866
2018-06-01,7487.076304538
2018-06-02,7567.512937619
2018-06-03,7639.879445683
2018-06-04,7463.654995545
2018-06-05,7569.011339885
2018-06-06,7605.578488608
2018-06-07,7613.777393378
2018-06-08,7561.166100525
2018-06-09,7415.001378589
2018-06-10,6767.499484549
2018-06-11,6880.133648756
2018-06-12,6581.828075228
2018-06-13,6334.098906426
2018-06-14,6644.720679738
2018-06-15,6406.80704951
2018-06-16,6478.81592433
2018-06-17,6418.850001887
2018-06-18,6677.533402912
2018-06-19,6708.681820275
2018-06-20,6714.37546123
2018-06-21,6690.832151608
2018-06-22,6088.579442391
2018-06-23,6169.437263862
2018-06-24,6159.707193794
2018-06-25,6241.848711705
2018-06-26,6069.872606166
2018-06-27,6117.036409623
2018-06-28,5879.988974406
2018-06-29,6182.256747923
2018-06-30,6366.499467511
2018-07-01,6312.877243131
2018-07-02,6595.547312808
2018-07-03,6497.607354942
2018-07-04,6562.721737121
2018-07-05,6537.740871622
2018-07-06,6603.294703965
2018-07-07,6759.836089145
2018-07-08,6700.635479052
2018-07-09,6648.256795903
2018-07-10,6303.380664729
2018-07-11,6373.23480469
2018-07-12,6230.590197105
2018-07-13,6248.397313034
2018-07-14,6246.137411626
2018-07-15,6349.695836711
2018-07-16,6741.691960285
2018-07-17,7303.373059796
2018-07-18,7334.771372076
2018-07-19,7442.800738748
2018-07-20,7331.871523239
2018-07-21,7379.137271822
2018-07-22,7395.86640544
2018-07-23,7704.995678905
2018-07-24,8422.373923351
2018-07-25,8144.553482042
2018-07-26,7929.079243603
2018-07-27,8145.333168121
2018-07-28,8192.135702237
2018-07-29,8197.593575814
2018-07-30,8185.921138302
2018-07-31,7738.249304586
2018-08-01,7612.300753683
2018-08-02,7540.633150617
2018-08-03,7411.666382484
2018-08-04,7009.012011794
2018-08-05,7036.609331273
2018-08-06,6926.116778774
2018-08-07,6711.732422359
2018-08-08,6259.527709668
2018-08-09,6531.249786737
2018-08-10,6166.590417502
2018-08-11,6205.218479945
2018-08-12,6318.407221774
2018-08-13,6283.996250582
2018-08-14,6212.226040056
2018-08-15,6267.768708774
2018-08-16,6309.385226219
2018-08-17,6566.715163377
2018-08-18,6382.060591408
2018-08-19,6475.494019667
2018-08-20,6242.882438401
2018-08-21,6467.27173031
2018-08-22,6336.656327109
2018-08-23,6521.065718269
2018-08-24,6684.379144207
2018-08-25,6736.036057516
2018-08-26,6728.288002629
2018-08-27,6911.09602895
2018-08-28,7075.983405105
2018-08-29,7046.748947281
2018-08-30,7024.145107182
2018-08-31,7027.631279402
2018-09-01,7211.270767869
2018-09-02,7305.272801004
2018-09-03,7260.897516648
2018-09-04,7359.462992923
2018-09-05,6764.926773778
2018-09-06,6498.27961261
2018-09-07,6397.81887024
2018-09-08,6181.194450752
2018-09-09,6260.764806062
2018-09-10,6308.135474617
2018-09-11,6278.917069629
2018-09-12,6330.574238023
2018-09-13,6486.461630394
2018-09-14,6500.012254617
2018-09-15,6530.221146235
2018-09-16,6506.248493217
2018-09-17,6250.121727323
2018-09-18,6347.069255452
2018-09-19,6383.753841158
2018-09-20,6491.885242277
2018-09-21,6753.83447214
2018-09-22,6747.03217296
2018-09-23,6711.029451816
2018-09-24,6596.187313046
2018-09-25,6441.311544543
2018-09-26,6462.795635292
2018-09-27,6704.70424573
2018-09-28,6634.765964573
2018-09-29,6606.073795422
2018-09-30,6626.037956098
2018-10-01,6598.841259755
2018-10-02,6524.607697915
2018-10-03,6499.262379115
2018-10-04,6578.701809285
2018-10-05,6621.18936392
2018-10-06,6589.124681679
2018-10-07,6584.832153053
2018-10-08,6653.08945083
2018-10-09,6633.745729917
2018-10-10,6582.455082387
2018-10-11,6234.367641454
2018-10-12,6285.5929828
2018-10-13,6314.883384423
2018-10-14,6328.554760034
2018-10-15,6659.875508409
2018-10-16,6635.125667517
2018-10-17,6635.741832488
2018-10-18,6517.511087711
2018-10-19,6483.827769472
2018-10-20,6532.678750384
2018-10-21,6529.670021371
2018-10-22,6512.589059299
2018-10-23,6472.799660642
2018-10-24,6481.443589558
2018-10-25,6458.191521837
2018-10-26,6468.826424966
2018-10-27,6457.058635187
2018-10-28,6481.323141668
2018-10-29,6292.647923934
2018-10-30,6331.78180791
2018-10-31,6366.720109554
2018-11-01,6379.972972168
2018-11-02,6425.44158304
2018-11-03,6388.189788307
2018-11-04,6351.061941056
2018-11-05,6415.443408541
2018-11-06,6474.847290337
2018-11-07,6574.80118029
2018-11-08,6490.454730762
2018-11-09,6413.782038572
2018-11-10,6429.898792074
2018-11-11,6434.284596926
2018-11-12,6411.353436205
2018-11-13,6394.289276264
2018-11-14,5788.612494047
2018-11-15,5686.541131058
2018-11-16,5609.956182334
2018-11-17,5599.191595689
2018-11-18,5638.861481452
2018-11-19,4889.197859239
2018-11-20,4450.711454418
2018-11-21,4613.448412184
2018-11-22,4307.388731717
2018-11-23,4376.904946802
2018-11-24,3895.836812959
2018-11-25,4039.836551137
2018-11-26,3811.923529266
2018-11-27,3832.924515901
2018-11-28,4267.243628991
2018-11-29,4279.475592549
2018-11-30,4009.689579826
2018-12-01,4189.573823
2018-12-02,4124.593548643
2018-12-03,3878.839234783
2018-12-04,3943.692812066
2018-12-05,3751.691966396
2018-12-06,3466.763863772
2018-12-07,3408.523617043
2018-12-08,3424.705860663
2018-12-09,3550.546433897
2018-12-10,3433.808440431
2018-12-11,3378.808778413
2018-12-12,3438.100073529
2018-12-13,3294.636156545
2018-12-14,3216.627149908
2018-12-15,3221.976203713
2018-12-16,3217.04683497
2018-12-17,3506.217013279
2018-12-18,3655.77504573
2018-12-19,3687.750553193
2018-12-20,4065.09723801
2018-12-21,3846.227497989
2018-12-22,3960.567773408
2018-12-23,3941.617740158
2018-12-24,4021.990255345
2018-12-25,3759.178426897
2018-12-26,3781.613081593
2018-12-27,3587.703880139
2018-12-28,3854.421096983
2018-12-29,3778.19393989
2018-12-30,3809.728228641
2018-12-31,3692.531565525
2019-01-01,3794.26425374
2019-01-02,3872.172184223
2019-01-03,3776.525807694
2019-01-04,3815.268079883
2019-01-05,3787.307857124
2019-01-06,4013.520091297
2019-01-07,3989.668717539
2019-01-08,3973.591254616
2019-01-09,3982.225912762
2019-01-10,3623.847729106
2019-01-11,3632.849306435
2019-01-12,3598.436346562
2019-01-13,3495.832311307
2019-01-14,3648.048285656
2019-01-15,3567.801243199
2019-01-16,3597.64732333
2019-01-17,3620.981281146
2019-01-18,3597.79325177
2019-01-19,3674.587270857
2019-01-20,3539.167531041
2019-01-21,3531.0041828
2019-01-22,3571.266908093
2019-01-23,3555.700002523
2019-01-24,3565.642004617
2019-01-25,3564.822417111
2019-01-26,3563.614563419
2019-01-27,3553.12168113
2019-01-28,3432.215668301
2019-01-29,3413.37548325
2019-01-30,3457.882649176
2019-01-31,3431.943637864
2019-02-01,3464.490147562
2019-02-02,3486.581616258
2019-02-03,3454.025843825
2019-02-04,3464.003508861
2019-02-05,3469.894677079
2019-02-06,3405.836861257
2019-02-07,3394.014652959
2019-02-08,3664.282102659
2019-02-09,3667.40826429
2019-02-10,3675.691629125
2019-02-11,3631.44453973
2019-02-12,3633.965046746
2019-02-13,3610.062273063
2019-02-14,3589.661829626
2019-02-15,3601.229191397
2019-02-16,3622.591653075
2019-02-17,3665.075530801
2019-02-18,3886.520200475
2019-02-19,3915.009971277
2019-02-20,3976.808906529
2019-02-21,3934.813593895
2019-02-22,3973.641322775
2019-02-23,4115.337926788
2019-02-24,3742.8689467
2019-02-25,3824.683504217
2019-02-26,3809.209774682
2019-02-27,3813.377891881
2019-02-28,3815.607607525
2019-03-01,3815.753939923
2019-03-02,3819.645730583
2019-03-03,3806.954273798
2019-03-04,3712.812457298
2019-03-05,3852.461665785
2019-03-06,3860.510762381
2019-03-07,3871.637247966
2019-03-08,3861.879307396
2019-03-09,3941.600873272
2019-03-10,3923.559788806
2019-03-11,3860.359230029
2019-03-12,3876.480852755
2019-03-13,3865.817782663
2019-03-14,3876.698708033
2019-03-15,3925.460579705
2019-03-16,4007.709463819
2019-03-17,3980.990104732
2019-03-18,3986.706894046
2019-03-19,4013.576969345
2019-03-20,4045.57263351
2019-03-21,3983.317781297
2019-03-22,3989.158491215
2019-03-23,4008.945386315
2019-03-24,3993.39490046
2019-03-25,3927.577296521
2019-03-26,3938.659743157
2019-03-27,4036.160917921
2019-03-28,4028.39130118
2019-03-29,4103.322859514
2019-03-30,4103.856421334
2019-03-31,4103.521738549
2019-04-01,4146.321927707
2019-04-02,4862.230427767
2019-04-03,4955.831824018
2019-04-04,4899.021553783
2019-04-05,5014.955826889
2019-04-06,5041.869075888
2019-04-07,5176.977883621
2019-04-08,5266.894776473
2019-04-09,5172.17526476
2019-04-10,5308.905683164
2019-04-11,5047.793162414
2019-04-12,5082.465152423
2019-04-13,5072.987191338
2019-04-14,5149.314492798
2019-04-15,5039.881017404
2019-04-16,5213.598376962
2019-04-17,5218.957150385
2019-04-18,5274.767013337
