date,circulating_supply_native
2018-01-01,16776512.5
2018-01-02,16778650.0
2018-01-03,16780612.5
2018-01-04,16782712.5
2018-01-05,16784500.0
2018-01-06,16786600.0
2018-01-07,16788625.0
2018-01-08,16790700.0
2018-01-09,16792750.0
2018-01-10,16794825.0
2018-01-11,16797237.5
2018-01-12,16799462.5
2018-01-13,16801325.0
2018-01-14,16803262.5
2018-01-15,16805137.5
2018-01-16,16807125.0
2018-01-17,16809212.5
2018-01-18,16811375.0
2018-01-19,16813437.5
2018-01-20,16815662.5
2018-01-21,16818000.0
2018-01-22,16820087.5
2018-01-23,16822300.0
2018-01-24,16824500.0
2018-01-25,16826475.0
2018-01-26,16828412.5
2018-01-27,16830375.0
2018-01-28,16832350.0
2018-01-29,16834200.0
2018-01-30,16836287.5
2018-01-31,16837750.0
2018-02-01,16839750.0
2018-02-02,16841850.0
2018-02-03,16843825.0
2018-02-04,16846050.0
2018-02-05,16848362.5
2018-02-06,16850487.5
2018-02-07,16852250.0
2018-02-08,16853887.5
2018-02-09,16855575.0
2018-02-10,16857362.5
2018-02-11,16859250.0
2018-02-12,16861325.0
2018-02-13,16863375.0
2018-02-14,16865612.5
2018-02-15,16867250.0
2018-02-16,16869212.5
2018-02-17,16871075.0
2018-02-18,16873100.0
2018-02-19,16875125.0
2018-02-20,16876887.5
2018-02-21,16879000.0
2018-02-22,16880862.5
2018-02-23,16882712.5
2018-02-24,16884525.0
2018-02-25,16886662.5
2018-02-26,16888425.0
2018-02-27,16890425.0
2018-02-28,16892362.5
2018-03-01,16894425.0
2018-03-02,16896375.0
2018-03-03,16898625.0
2018-03-04,16900475.0
2018-03-05,16902337.5
2018-03-06,16904287.5
2018-03-07,16906250.0
2018-03-08,16908275.0
2018-03-09,16910100.0
2018-03-10,16911850.0
2018-03-11,16913762.5
2018-03-12,16915775.0
2018-03-13,16917750.0
2018-03-14,16919550.0
2018-03-15,16921350.0
2018-03-16,16923300.0
2018-03-17,16925162.5
2018-03-18,16927050.0
2018-03-19,16928987.5
2018-03-20,16930575.0
2018-03-21,16932475.0
2018-03-22,16934262.5
2018-03-23,16935925.0
2018-03-24,16937875.0
2018-03-25,16939562.5
2018-03-26,16941437.5
2018-03-27,16943337.5
2018-03-28,16945025.0
2018-03-29,16946925.0
2018-03-30,16948950.0
2018-03-31,16950550.0
2018-04-01,16952575.0
2018-04-02,16954525.0
2018-04-03,16956562.5
2018-04-04,16958400.0
2018-04-05,16960350.0
2018-04-06,16962075.0
2018-04-07,16964325.0
2018-04-08,16966337.5
2018-04-09,16968175.0
2018-04-10,16970225.0
2018-04-11,16972237.5
2018-04-12,16974162.5
2018-04-13,16976225.0
2018-04-14,16977937.5
2018-04-15,16979975.0
2018-04-16,16981737.5
2018-04-17,16983762.5
2018-04-18,16985762.5
2018-04-19,16987987.5
2018-04-20,16989700.0
2018-04-21,16991687.5
2018-04-22,16993687.5
2018-04-23,16995600.0
2018-04-24,16997587.5
2018-04-25,16999125.0
2018-04-26,17000887.5
2018-04-27,17002662.5
2018-04-28,17004262.5
2018-04-29,17006237.5
2018-04-30,17008175.0
2018-05-01,17010150.0
2018-05-02,17011900.0
2018-05-03,17013787.5
2018-05-04,17015512.5
2018-05-05,17017525.0
2018-05-06,17019237.5
2018-05-07,17021112.5
2018-05-08,17022850.0
2018-05-09,17024850.0
2018-05-10,17026775.0
2018-05-11,17028362.5
2018-05-12,17030425.0
2018-05-13,17032275.0
2018-05-14,17033925.0
2018-05-15,17035750.0
2018-05-16,17037987.5
2018-05-17,17039637.5
2018-05-18,17041487.5
2018-05-19,17043412.5
2018-05-20,17045212.5
2018-05-21,17047175.0
2018-05-22,17049062.5
2018-05-23,17051087.5
2018-05-24,17052875.0
2018-05-25,17055075.0
2018-05-26,17057100.0
2018-05-27,17059150.0
2018-05-28,17061100.0
2018-05-29,17062837.5
2018-05-30,17065012.5
2018-05-31,17067137.5
2018-06-01,17069212.5
2018-06-02,17071112.5
2018-06-03,17073150.0
2018-06-04,17075437.5
2018-06-05,17077625.0
2018-06-06,17079462.5
2018-06-07,17081250.0
2018-06-08,17083062.5
2018-06-09,17084850.0
2018-06-10,17086437.5
2018-06-11,17088187.5
2018-06-12,17090000.0
2018-06-13,17091787.5
2018-06-14,17093700.0
2018-06-15,17095612.5
2018-06-16,17097687.5
2018-06-17,17099650.0
2018-06-18,17101700.0
2018-06-19,17103637.5
2018-06-20,17105575.0
2018-06-21,17107700.0
2018-06-22,17109587.5
2018-06-23,17111587.5
2018-06-24,17113725.0
2018-06-25,17115687.5
2018-06-26,17117512.5
2018-06-27,17119025.0
2018-06-28,17120987.5
2018-06-29,17122875.0
2018-06-30,17124637.5
2018-07-01,17126475.0
2018-07-02,17128237.5
2018-07-03,17129687.5
2018-07-04,17131362.5
2018-07-05,17133075.0
2018-07-06,17135075.0
2018-07-07,17137025.0
2018-07-08,17139000.0
2018-07-09,17140700.0
2018-07-10,17142562.5
2018-07-11,17144250.0
2018-07-12,17146012.5
2018-07-13,17147800.0
2018-07-14,17149462.5
2018-07-15,17151125.0
2018-07-16,17152625.0
2018-07-17,17154612.5
2018-07-18,17156787.5
2018-07-19,17158925.0
2018-07-20,17160850.0
2018-07-21,17162562.5
2018-07-22,17164837.5
2018-07-23,17166912.5
2018-07-24,17168900.0
2018-07-25,17171112.5
2018-07-26,17173175.0
2018-07-27,17175262.5
2018-07-28,17177075.0
2018-07-29,17179200.0
2018-07-30,17180875.0
2018-07-31,17182712.5
2018-08-01,17184587.5
2018-08-02,17186500.0
2018-08-03,17188575.0
2018-08-04,17190775.0
2018-08-05,17192775.0
2018-08-06,17194412.5
2018-08-07,17196300.0
2018-08-08,17198262.5
2018-08-09,17200125.0
2018-08-10,17202325.0
2018-08-11,17204450.0
2018-08-12,17206387.5
2018-08-13,17208262.5
2018-08-14,17209962.5
2018-08-15,17211975.0
2018-08-16,17213950.0
2018-08-17,17215850.0
2018-08-18,17217850.0
2018-08-19,17219662.5
2018-08-20,17221537.5
2018-08-21,17223387.5
2018-08-22,17225387.5
2018-08-23,17227250.0
2018-08-24,17229075.0
2018-08-25,17230762.5
2018-08-26,17232925.0
2018-08-27,17235237.5
2018-08-28,17237150.0
2018-08-29,17238887.5
2018-08-30,17240812.5
2018-08-31,17242750.0
2018-09-01,17244637.5
2018-09-02,17246437.5
2018-09-03,17248237.5
2018-09-04,17249812.5
2018-09-05,17251462.5
2018-09-06,17253337.5
2018-09-07,17255237.5
2018-09-08,17257112.5
2018-09-09,17259150.0
2018-09-10,17260837.5
2018-09-11,17262600.0
2018-09-12,17264700.0
2018-09-13,17266550.0
2018-09-14,17268200.0
2018-09-15,17269950.0
2018-09-16,17271687.5
2018-09-17,17273375.0
2018-09-18,17275150.0
2018-09-19,17277100.0
2018-09-20,17279025.0
2018-09-21,17280825.0
2018-09-22,17282762.5
2018-09-23,17284637.5
2018-09-24,17286487.5
2018-09-25,17288600.0
2018-09-26,17290337.5
2018-09-27,17292125.0
2018-09-28,17294050.0
2018-09-29,17295950.0
2018-09-30,17297987.5
2018-10-01,17299962.5
2018-10-02,17301675.0
2018-10-03,17303487.5
2018-10-04,17305362.5
2018-10-05,17306987.5
2018-10-06,17308550.0
2018-10-07,17310325.0
2018-10-08,17312012.5
2018-10-09,17313637.5
2018-10-10,17315437.5
2018-10-11,17317425.0
2018-10-12,17319075.0
2018-10-13,17320837.5
2018-10-14,17322262.5
2018-10-15,17324287.5
2018-10-16,17325975.0
2018-10-17,17327700.0
2018-10-18,17329425.0
2018-10-19,17331200.0
2018-10-20,17332987.5
2018-10-21,17334712.5
2018-10-22,17336650.0
2018-10-23,17338575.0
2018-10-24,17339987.5
2018-10-25,17341700.0
2018-10-26,17343487.5
2018-10-27,17345187.5
2018-10-28,17346937.5
2018-10-29,17348762.5
2018-10-30,17350687.5
2018-10-31,17352725.0
2018-11-01,17354650.0
2018-11-02,17356437.5
2018-11-03,17358450.0
2018-11-04,17359987.5
2018-11-05,17361787.5
2018-11-06,17363387.5
2018-11-07,17365012.5
2018-11-08,17366525.0
2018-11-09,17368112.5
2018-11-10,17369750.0
2018-11-11,17371575.0
2018-11-12,17373325.0
2018-11-13,17374825.0
2018-11-14,17376512.5
2018-11-15,17378100.0
2018-11-16,17379675.0
2018-11-17,17381487.5
2018-11-18,17383025.0
2018-11-19,17384600.0
2018-11-20,17386250.0
2018-11-21,17387562.5
2018-11-22,17389087.5
2018-11-23,17390650.0
2018-11-24,17392437.5
2018-11-25,17394025.0
2018-11-26,17395412.5
2018-11-27,17397050.0
2018-11-28,17398525.0
2018-11-29,17399837.5
2018-11-30,17401100.0
2018-12-01,17402650.0
2018-12-02,17404075.0
2018-12-03,17405500.0
2018-12-04,17407225.0
2018-12-05,17408850.0
2018-12-06,17410537.5
2018-12-07,17411962.5
2018-12-08,17413550.0
2018-12-09,17415150.0
2018-12-10,17416700.0
2018-12-11,17418262.5
2018-12-12,17419762.5
2018-12-13,17421400.0
2018-12-14,17423225.0
2018-12-15,17425087.5
2018-12-16,17426525.0
2018-12-17,17428525.0
2018-12-18,17430125.0
2018-12-19,17431987.5
2018-12-20,17433675.0
2018-12-21,17435425.0
2018-12-22,17437612.5
2018-12-23,17439812.5
2018-12-24,17441712.5
2018-12-25,17443700.0
2018-12-26,17445662.5
2018-12-27,17447837.5
2018-12-28,17449925.0
2018-12-29,17451650.0
2018-12-30,17453850.0
2018-12-31,17455787.5
2019-01-01,17457650.0
2019-01-02,17459537.5
2019-01-03,17461475.0
2019-01-04,17463337.5
2019-01-05,17465375.0
2019-01-06,17467137.5
2019-01-07,17468900.0
2019-01-08,17471012.5
2019-01-09,17473062.5
2019-01-10,17475012.5
2019-01-11,17476862.5
2019-01-12,17478587.5
2019-01-13,17480300.0
2019-01-14,17482162.5
2019-01-15,17483812.5
2019-01-16,17485475.0
2019-01-17,17487062.5
2019-01-18,17488787.5
2019-01-19,17490450.0
2019-01-20,17492412.5
2019-01-21,17494287.5
2019-01-22,17495912.5
2019-01-23,17497737.5
2019-01-24,17499762.5
2019-01-25,17501487.5
2019-01-26,17503362.5
2019-01-27,17505075.0
2019-01-28,17506887.5
2019-01-29,17508712.5
2019-01-30,17510412.5
2019-01-31,17512350.0
2019-02-01,17514325.0
2019-02-02,17516125.0
2019-02-03,17517850.0
2019-02-04,17519687.5
2019-02-05,17521525.0
2019-02-06,17523575.0
2019-02-07,17525750.0
2019-02-08,17527787.5
2019-02-09,17529662.5
2019-02-10,17531412.5
2019-02-11,17533225.0
2019-02-12,17534825.0
2019-02-13,17536737.5
2019-02-14,17538500.0
2019-02-15,17540087.5
2019-02-16,17541962.5
2019-02-17,17543950.0
2019-02-18,17545887.5
2019-02-19,17547837.5
2019-02-20,17549462.5
2019-02-21,17550950.0
2019-02-22,17552975.0
2019-02-23,17554762.5
2019-02-24,17556475.0
2019-02-25,17558262.5
2019-02-26,17560275.0
2019-02-27,17562037.5
2019-02-28,17563912.5
2019-03-01,17565937.5
2019-03-02,17567587.5
2019-03-03,17569412.5
2019-03-04,17571125.0
2019-03-05,17572987.5
2019-03-06,17574587.5
2019-03-07,17576362.5
2019-03-08,17578187.5
2019-03-09,17579912.5
2019-03-10,17581612.5
2019-03-11,17583387.5
2019-03-12,17585175.0
2019-03-13,17586862.5
2019-03-14,17588800.0
2019-03-15,17590712.5
2019-03-16,17592750.0
2019-03-17,17594575.0
2019-03-18,17596587.5
2019-03-19,17598762.5
2019-03-20,17600775.0
2019-03-21,17602562.5
2019-03-22,17604575.0
2019-03-23,17606387.5
2019-03-24,17608262.5
2019-03-25,17610112.5
2019-03-26,17611787.5
2019-03-27,17613650.0
2019-03-28,17615475.0
2019-03-29,17617312.5
2019-03-30,17619050.0
2019-03-31,17620787.5
2019-04-01,17622487.5
2019-04-02,17624450.0
2019-04-03,17626225.0
2019-04-04,17627975.0
2019-04-05,17629950.0
2019-04-06,17631687.5
2019-04-07,17633450.0
2019-04-08,17635300.0
2019-04-09,17636950.0
2019-04-10,17638800.0
2019-04-11,17640762.5
2019-04-12,17642650.0
2019-04-13,17644337.5
2019-04-14,17645862.5
2019-04-15,17647675.0
2019-04-16,17649487.5
2019-04-17,17651212.5
2019-04-18,17653075.0
2019-04-19,17654975.0
2019-04-20,17656612.5
2019-04-21,17658637.5
2019-04-22,17660312.5
2019-04-23,17661762.5
2019-04-24,17663800.0
2019-04-25,17665587.5
2019-04-26,17667475.0
2019-04-27,17669187.5
2019-04-28,17671225.0
2019-04-29,17673262.5
2019-04-30,17675012.5
2019-05-01,17677150.0
2019-05-02,17679450.0
2019-05-03,17681350.0
2019-05-04,17683000.0
2019-05-05,17684612.5
2019-05-06,17686500.0
2019-05-07,17688087.5
2019-05-08,17689987.5
2019-05-09,17691862.5
2019-05-10,17693425.0
2019-05-11,17695050.0
2019-05-12,17697025.0
2019-05-13,17699112.5
2019-05-14,17701012.5
2019-05-15,17702875.0
2019-05-16,17704700.0
2019-05-17,17706587.5
2019-05-18,17708500.0
2019-05-19,17710537.5
2019-05-20,17712550.0
2019-05-21,17714462.5
2019-05-22,17716550.0
2019-05-23,17718525.0
2019-05-24,17720437.5
2019-05-25,17722187.5
2019-05-26,17724250.0
2019-05-27,17726337.5
2019-05-28,17728387.5
2019-05-29,17730562.5
2019-05-30,17732562.5
2019-05-31,17734025.0
2019-06-01,17735912.5
2019-06-02,17737550.0
2019-06-03,17739037.5
2019-06-04,17740962.5
2019-06-05,17742962.5
2019-06-06,17744925.0
2019-06-07,17746900.0
2019-06-08,17748450.0
2019-06-09,17750287.5
2019-06-10,17752250.0
2019-06-11,17754037.5
2019-06-12,17755675.0
2019-06-13,17757562.5
2019-06-14,17759675.0
2019-06-15,17761500.0
2019-06-16,17763125.0
2019-06-17,17764787.5
2019-06-18,17766825.0
2019-06-19,17769037.5
2019-06-20,17770837.5
2019-06-21,17772500.0
2019-06-22,17774262.5
2019-06-23,17776525.0
2019-06-24,17778737.5
2019-06-25,17780562.5
2019-06-26,17782625.0
2019-06-27,17784400.0
2019-06-28,17786437.5
2019-06-29,17788612.5
2019-06-30,17790512.5
2019-07-01,17792300.0
2019-07-02,17794275.0
2019-07-03,17796425.0
2019-07-04,17798512.5
2019-07-05,17800875.0
2019-07-06,17803100.0
2019-07-07,17805012.5
2019-07-08,17807237.5
2019-07-09,17809162.5
2019-07-10,17810775.0
2019-07-11,17812387.5
2019-07-12,17814437.5
2019-07-13,17816200.0
2019-07-14,17818012.5
2019-07-15,17819837.5
2019-07-16,17821862.5
2019-07-17,17823525.0
2019-07-18,17825037.5
2019-07-19,17826512.5
2019-07-20,17828725.0
2019-07-21,17830587.5
2019-07-22,17832562.5
2019-07-23,17834350.0
2019-07-24,17836087.5
2019-07-25,17837962.5
2019-07-26,17840037.5
2019-07-27,17841937.5
2019-07-28,17844125.0
2019-07-29,17846225.0
2019-07-30,17848000.0
2019-07-31,17850137.5
2019-08-01,17851912.5
2019-08-02,17854025.0
2019-08-03,17856187.5
2019-08-04,17858275.0
2019-08-05,17860062.5
2019-08-06,17862075.0
2019-08-07,17863987.5
2019-08-08,17865762.5
2019-08-09,17867600.0
2019-08-10,17869487.5
2019-08-11,17871400.0
2019-08-12,17873062.5
2019-08-13,17875025.0
