date,mc
2018-01-01,84822222588.5437
2018-01-02,93178531120.432
2018-01-03,94681149308.5246
2018-01-04,97269228886.2531
2018-01-05,101852997666.873
2018-01-06,110167827718.611
2018-01-07,114769005376.762
2018-01-08,131894965357.881
2018-01-09,130387621608.286
2018-01-10,114526940296.893
2018-01-11,127538307119.981
2018-01-12,140419500475.928
2018-01-13,136747164703.849
2018-01-14,128980953671.981
2018-01-15,103677753320.31
2018-01-16,99216267384.4585
2018-01-17,100567876886.708
2018-01-18,101640355096.624
2018-01-19,113899479853.586
2018-01-20,102337202453.458
2018-01-21,97186332455.0951
2018-01-22,96359326865.8716
2018-01-23,102717867498.029
2018-01-24,102976145173.289
2018-01-25,101975238868.218
2018-01-26,106559849459.02
2018-01-27,120356395893.42
2018-01-28,113796120454.081
2018-01-29,113043826616.747
2018-01-30,102965815556.067
2018-01-31,107663538775.879
2018-02-01,99423764457.4488
2018-02-02,89061856063.4808
2018-02-03,91725607014.4353
2018-02-04,81329819333.7154
2018-02-05,66675677460.4115
2018-02-06,76574516020.883
2018-02-07,73290929917.8697
2018-02-08,78759712266.8062
2018-02-09,84968804616.7845
2018-02-10,83330877020.2487
2018-02-11,79732678121.4166
2018-02-12,84185155652.7707
2018-02-13,81375375877.9689
2018-02-14,89328231140.6048
2018-02-15,90637629785.6649
2018-02-16,91279135809.1941
2018-02-17,94190008583.4062
2018-02-18,89404389580.2483
2018-02-19,90713108252.7155
2018-02-20,88256609941.3564
2018-02-21,79118626282.2587
2018-02-22,79442544254.3093
2018-02-23,84567348658.2748
2018-02-24,81068136131.6096
2018-02-25,82445384433.1456
2018-02-26,84519903484.5132
2018-02-27,85086932065.0865
2018-02-28,82862945950.985
2018-03-01,83792455743.3518
2018-03-02,83297136123.6615
2018-03-03,82708301723.5519
2018-03-04,82676499793.8576
2018-03-05,82340571913.2882
2018-03-06,79250313700.0067
2018-03-07,73790376421.9669
2018-03-08,68568491974.3163
2018-03-09,69730146644.1958
2018-03-10,67198010840.6789
2018-03-11,69985307146.2771
2018-03-12,68245214878.5009
2018-03-13,67211282137.8953
2018-03-14,59738408621.9634
2018-03-15,60148621435.9676
2018-03-16,59712695037.7092
2018-03-17,55031620530.2365
2018-03-18,52938616457.5708
2018-03-19,54560292401.5758
2018-03-20,54486305509.9885
2018-03-21,55179662649.9495
2018-03-22,52885690223.3192
2018-03-23,52936241666.4976
2018-03-24,51114768972.6982
2018-03-25,51114766847.0115
2018-03-26,47991343456.1895
2018-03-27,44211929435.1148
2018-03-28,43718505250.0262
2018-03-29,37953505528.3588
2018-03-30,38946452754.2313
2018-03-31,39000868214.2785
2018-04-01,37365640069.8215
2018-04-02,37935548084.0427
2018-04-03,40989129292.8868
2018-04-04,37503095784.2419
2018-04-05,37923466118.6402
2018-04-06,36495759521.3981
2018-04-07,37838661360.0025
2018-04-08,39182417250.9241
2018-04-09,39367328706.2102
2018-04-10,40749602575.9284
2018-04-11,42209337332.354
