date,norm_mvrv_z,norm_puell,norm_price_200w_ratio,norm_stable_30d,norm_dom_proxy_30d_roc,btc_score,btc_score_lagged,regime,action
2017-11-28,,,,,,,,NA,NA
2017-11-29,,,,,,,,NA,NA
2017-11-30,,,,,,,,NA,NA
2017-12-01,,,,,,,,NA,NA
2017-12-02,,,,,,,,NA,NA
2017-12-03,,,,,,,,NA,NA
2017-12-04,,,,,,,,NA,NA
2017-12-05,,,,,,,,NA,NA
2017-12-06,,,,,,,,NA,NA
2017-12-07,,,,,,,,NA,NA
2017-12-08,,,,,,,,NA,NA
2017-12-09,,,,,,,,NA,NA
2017-12-10,,,,,,,,NA,NA
2017-12-11,,,,,,,,NA,NA
2017-12-12,,,,,,,,NA,NA
2017-12-13,,,,,,,,NA,NA
2017-12-14,,,,,,,,NA,NA
2017-12-15,,,,,,,,NA,NA
2017-12-16,,,,,,,,NA,NA
2017-12-17,,,,,,,,NA,NA
2017-12-18,,,,,,,,NA,NA
2017-12-19,,,,,,,,NA,NA
2017-12-20,,,,,,,,NA,NA
2017-12-21,,,,,,,,NA,NA
2017-12-22,,,,,,,,NA,NA
2017-12-23,,,,,,,,NA,NA
2017-12-24,,,,,,,,NA,NA
2017-12-25,,,,,,,,NA,NA
2017-12-26,,,,,,,,NA,NA
2017-12-27,,,,,,,,NA,NA
2017-12-28,,,,,,,,NA,NA
2017-12-29,,,,,,,,NA,NA
2017-12-30,,,,,,,,NA,NA
2017-12-31,,,,,,,,NA,NA
2018-01-01,,,,,,,,NA,NA
2018-01-02,,,,,,,,NA,NA
2018-01-03,,,,,,,,NA,NA
2018-01-04,,,,,,,,NA,NA
2018-01-05,,,,,,,,NA,NA
2018-01-06,,,,,,,,NA,NA
2018-01-07,,,,,,,,NA,NA
2018-01-08,,,,,,,,NA,NA
2018-01-09,,,,,,,,NA,NA
2018-01-10,,,,,,,,NA,NA
2018-01-11,,,,,,,,NA,NA
2018-01-12,,,,,,,,NA,NA
2018-01-13,,,,,,,,NA,NA
2018-01-14,,,,,,,,NA,NA
2018-01-15,,,,,,,,NA,NA
2018-01-16,,,,,,,,NA,NA
2018-01-17,,,,,,,,NA,NA
2018-01-18,,,,,,,,NA,NA
2018-01-19,,,,,,,,NA,NA
2018-01-20,,,,,,,,NA,NA
2018-01-21,,,,,,,,NA,NA
2018-01-22,,,,,,,,NA,NA
2018-01-23,,,,,,,,NA,NA
2018-01-24,,,,,,,,NA,NA
2018-01-25,,,,,,,,NA,NA
2018-01-26,,,,,,,,NA,NA
2018-01-27,,,,,,,,NA,NA
2018-01-28,,,,,,,,NA,NA
2018-01-29,,,,,,,,NA,NA
2018-01-30,,,,,,,,NA,NA
2018-01-31,,,,,,,,NA,NA
2018-02-01,,,,,,,,NA,NA
2018-02-02,,,,,,,,NA,NA
2018-02-03,,,,,,,,NA,NA
2018-02-04,,,,,,,,NA,NA
2018-02-05,,,,,,,,NA,NA
2018-02-06,,,,,,,,NA,NA
2018-02-07,,,,,,,,NA,NA
2018-02-08,,,,,,,,NA,NA
2018-02-09,,,,,,,,NA,NA
2018-02-10,,,,,,,,NA,NA
2018-02-11,,,,,,,,NA,NA
2018-02-12,,,,,,,,NA,NA
2018-02-13,,,,,,,,NA,NA
2018-02-14,,,,,,,,NA,NA
2018-02-15,,,,,,,,NA,NA
2018-02-16,,,,,,,,NA,NA
2018-02-17,,,,,,,,NA,NA
2018-02-18,,,,,,,,NA,NA
2018-02-19,,,,,,,,NA,NA
2018-02-20,,,,,,,,NA,NA
2018-02-21,,,,,,,,NA,NA
2018-02-22,,,,,,,,NA,NA
2018-02-23,,,,,,,,NA,NA
2018-02-24,,,,,,,,NA,NA
2018-02-25,,,,,,,,NA,NA
2018-02-26,,,,,,,,NA,NA
2018-02-27,,,,,,,,NA,NA
2018-02-28,,,,,,,,NA,NA
2018-03-01,,,,,,,,NA,NA
2018-03-02,,,,,,,,NA,NA
2018-03-03,,,,,,,,NA,NA
2018-03-04,,,,,,,,NA,NA
2018-03-05,,,,,,,,NA,NA
2018-03-06,,,,,,,,NA,NA
2018-03-07,,,,,,,,NA,NA
2018-03-08,,,,,,,,NA,NA
2018-03-09,,,,,,,,NA,NA
2018-03-10,,,,,,,,NA,NA
2018-03-11,,,,,,,,NA,NA
2018-03-12,,,,,,,,NA,NA
2018-03-13,,,,,,,,NA,NA
2018-03-14,,,,,,,,NA,NA
2018-03-15,,,,,,,,NA,NA
2018-03-16,,,,,,,,NA,NA
2018-03-17,,,,,,,,NA,NA
2018-03-18,,,,,,,,NA,NA
2018-03-19,,,,,,,,NA,NA
2018-03-20,,,,,,,,NA,NA
2018-03-21,,,,,,,,NA,NA
2018-03-22,,,,,,,,NA,NA
2018-03-23,,,,,,,,NA,NA
2018-03-24,,,,,,,,NA,NA
2018-03-25,,,,,,,,NA,NA
2018-03-26,,,,,,,,NA,NA
2018-03-27,,,,,,,,NA,NA
2018-03-28,,,,,,,,NA,NA
2018-03-29,,,,,,,,NA,NA
2018-03-30,,,,,,,,NA,NA
2018-03-31,,,,,,,,NA,NA
2018-04-01,,,,,,,,NA,NA
2018-04-02,,,,,,,,NA,NA
2018-04-03,,,,,,,,NA,NA
2018-04-04,,,,,,,,NA,NA
2018-04-05,,,,,,,,NA,NA
2018-04-06,,,,,,,,NA,NA
2018-04-07,,,,,,,,NA,NA
2018-04-08,,,,,,,,NA,NA
2018-04-09,,,,,,,,NA,NA
2018-04-10,,,,,,,,NA,NA
2018-04-11,,,,,,,,NA,NA
2018-04-12,,,,,,,,NA,NA
2018-04-13,,,,,,,,NA,NA
2018-04-14,,,,,,,,NA,NA
2018-04-15,,,,,,,,NA,NA
2018-04-16,,,,,,,,NA,NA
2018-04-17,,,,,,,,NA,NA
2018-04-18,,,,,,,,NA,NA
2018-04-19,,,,,,,,NA,NA
2018-04-20,,,,,,,,NA,NA
2018-04-21,,,,,,,,NA,NA
2018-04-22,,,,,,,,NA,NA
2018-04-23,,,,,,,,NA,NA
2018-04-24,,,,,,,,NA,NA
2018-04-25,,,,,,,,NA,NA
2018-04-26,,,,,,,,NA,NA
2018-04-27,,,,,,,,NA,NA
2018-04-28,,,,,,,,NA,NA
2018-04-29,,,,,,,,NA,NA
2018-04-30,,,,,,,,NA,NA
2018-05-01,,,,,,,,NA,NA
2018-05-02,,,,,,,,NA,NA
2018-05-03,,,,,,,,NA,NA
2018-05-04,,,,,,,,NA,NA
2018-05-05,,,,,,,,NA,NA
2018-05-06,,,,,,,,NA,NA
2018-05-07,,,,,,,,NA,NA
2018-05-08,,,,,,,,NA,NA
2018-05-09,,,,,,,,NA,NA
2018-05-10,,,,,,,,NA,NA
2018-05-11,,,,,,,,NA,NA
2018-05-12,,,,,,,,NA,NA
2018-05-13,,,,,,,,NA,NA
2018-05-14,,,,,,,,NA,NA
2018-05-15,,,,,,,,NA,NA
2018-05-16,,,,,,,,NA,NA
2018-05-17,,,,,,,,NA,NA
2018-05-18,,,,,,,,NA,NA
2018-05-19,,,,,,,,NA,NA
2018-05-20,,,,,,,,NA,NA
2018-05-21,,,,,,,,NA,NA
2018-05-22,,,,,,,,NA,NA
2018-05-23,,,,,,,,NA,NA
2018-05-24,,,,,,,,NA,NA
2018-05-25,,,,,,,,NA,NA
2018-05-26,,,,,,,,NA,NA
2018-05-27,,,,,,,,NA,NA
2018-05-28,,,,,,,,NA,NA
2018-05-29,,,,,,,,NA,NA
2018-05-30,,,,,,,,NA,NA
2018-05-31,,,,,,,,NA,NA
2018-06-01,,,,,,,,NA,NA
2018-06-02,,,,,,,,NA,NA
2018-06-03,,,,,,,,NA,NA
2018-06-04,,,,,,,,NA,NA
2018-06-05,,,,,,,,NA,NA
2018-06-06,,,,,,,,NA,NA
2018-06-07,,,,,,,,NA,NA
2018-06-08,,,,,,,,NA,NA
2018-06-09,,,,,,,,NA,NA
2018-06-10,,,,,,,,NA,NA
2018-06-11,,,,,,,,NA,NA
2018-06-12,,,,,,,,NA,NA
2018-06-13,,,,,,,,NA,NA
2018-06-14,,,,,,,,NA,NA
2018-06-15,,,,,,,,NA,NA
2018-06-16,,,,,,,,NA,NA
2018-06-17,,,,,,,,NA,NA
2018-06-18,,,,,,,,NA,NA
2018-06-19,,,,,,,,NA,NA
2018-06-20,,,,,,,,NA,NA
2018-06-21,,,,,,,,NA,NA
2018-06-22,,,,,,,,NA,NA
2018-06-23,,,,,,,,NA,NA
2018-06-24,,,,,,,,NA,NA
2018-06-25,,,,3.148382892665771e-06,,3.148382892665771e-06,,NA,NA
2018-06-26,,,,0.00016939589755489244,,0.00016939589755489244,,NA,NA
2018-06-27,,,,0.00030239376912459277,,0.00030239376912459277,,NA,NA
2018-06-28,,,,0.00030184968172554594,,0.00030184968172554594,,NA,NA
2018-06-29,,,,0.00030184968172554594,,0.00030184968172554594,,NA,NA
2018-06-30,,,,0.00030184974270819906,,0.00030184974270819906,,NA,NA
2018-07-01,,,,0.0003018496511345726,,0.0003018496511345726,,NA,NA
2018-07-02,,,,0.0003018496206432257,,0.0003018496206432257,3.148382892665771e-06,BEAR,EXIT
2018-07-03,,,,0.0003018494986281062,,0.0003018494986281062,0.00016939589755489244,BEAR,EXIT
2018-07-04,,,,0.0009668398014189653,,0.0009668398014189653,0.00030239376912459277,BEAR,EXIT
2018-07-05,,,,0.0009668396184709652,,0.0009668396184709651,0.00030184968172554594,BEAR,EXIT
2018-07-06,,,,0.0009668395879796184,,0.0009668395879796184,0.00030184968172554594,BEAR,EXIT
2018-07-07,,,,0.0009692458156535139,,0.0009692458156535139,0.00030184974270819906,BEAR,EXIT
2018-07-08,,,,0.000969245723534913,,0.0009692457235349128,0.0003018496511345726,BEAR,EXIT
2018-07-09,,,,0.0009692456318988571,,0.000969245631898857,0.0003018496206432257,BEAR,EXIT
2018-07-10,,,,0.0009692455707545145,,0.0009692455707545144,0.0003018494986281062,BEAR,EXIT
2018-07-11,,,,0.0009692455097710881,,0.000969245509771088,0.0009668398014189653,BEAR,EXIT
2018-07-12,,,,0.0009692455097710881,,0.000969245509771088,0.0009668396184709651,BEAR,EXIT
2018-07-13,,,,0.034219194234170504,,0.034219194234170504,0.0009668395879796184,BEAR,EXIT
2018-07-14,,,,0.03421919426466226,,0.03421919426466226,0.0009692458156535139,BEAR,EXIT
2018-07-15,,,,0.03421919422278566,,0.03421919422278566,0.0009692457235349128,BEAR,EXIT
2018-07-16,,,,0.034219194125617976,,0.034219194125617976,0.000969245631898857,BEAR,EXIT
