date,input_price,input_mvrv_ratio,input_miner_revenue,input_etf_flows,input_btc_mc,input_eth_mc,input_stablecoin_supply,input_fed_balance_sheet,raw_mvrv_z,raw_puell,raw_price_200w_ratio,raw_stable_30d,raw_dom_proxy_30d_roc,raw_fed_bs_30d_roc,norm_mvrv_z,norm_puell,norm_price_200w_ratio,norm_stable_30d,norm_dom_proxy_30d_roc,btc_score,btc_score_lagged,regime,action
2017-11-28,,,,,,,109970.0,,,,,,,,,,,,,,,NA,NA
2017-11-29,,,,,,,109970.0,,,,,,,,,,,,,,,NA,NA
2017-11-30,,,,,,,109970.0,,,,,,,,,,,,,,,NA,NA
2017-12-01,,,,,,,109970.0,,,,,,,,,,,,,,,NA,NA
2017-12-02,,,,,,,109970.0,,,,,,,,,,,,,,,NA,NA
2017-12-03,,,,,,,109970.0,,,,,,,,,,,,,,,NA,NA
2017-12-04,,,,,,,109970.0,,,,,,,,,,,,,,,NA,NA
2017-12-05,,,,,,,109970.0,,,,,,,,,,,,,,,NA,NA
2017-12-06,,,,,,,109970.0,,,,,,,,,,,,,,,NA,NA
2017-12-07,,,,,,,109970.0,,,,,,,,,,,,,,,NA,NA
2017-12-08,,,,,,,109970.0,,,,,,,,,,,,,,,NA,NA
2017-12-09,,,,,,,109970.0,,,,,,,,,,,,,,,NA,NA
2017-12-10,,,,,,,109970.0,,,,,,,,,,,,,,,NA,NA
2017-12-11,,,,,,,109970.0,,,,,,,,,,,,,,,NA,NA
2017-12-12,,,,,,,109970.0,,,,,,,,,,,,,,,NA,NA
2017-12-13,,,,,,,109970.0,,,,,,,,,,,,,,,NA,NA
2017-12-14,,,,,,,109970.0,,,,,,,,,,,,,,,NA,NA
2017-12-15,,,,,,,109970.0,,,,,,,,,,,,,,,NA,NA
2017-12-16,,,,,,,109970.0,,,,,,,,,,,,,,,NA,NA
2017-12-17,,,,,,,109970.0,,,,,,,,,,,,,,,NA,NA
2017-12-18,,,,,,,109970.0,,,,,,,,,,,,,,,NA,NA
2017-12-19,,,,,,,109970.0,,,,,,,,,,,,,,,NA,NA
2017-12-20,,,,,,,109970.0,,,,,,,,,,,,,,,NA,NA
2017-12-21,,,,,,,109970.0,,,,,,,,,,,,,,,NA,NA
2017-12-22,,,,,,,109970.0,,,,,,,,,,,,,,,NA,NA
2017-12-23,,,,,,,109970.0,,,,,,,,,,,,,,,NA,NA
2017-12-24,,,,,,,109970.0,,,,,,,,,,,,,,,NA,NA
2017-12-25,,,,,,,109970.0,,,,,,,,,,,,,,,NA,NA
2017-12-26,,,,,,,109970.0,,,,,,,,,,,,,,,NA,NA
2017-12-27,,,,,,,109970.0,,,,,,,,,,,,,,,NA,NA
2017-12-28,,,,,,,109970.0,,,,,0.0,,,,,,,,,,NA,NA
2017-12-29,,,,,,,109970.0,,,,,0.0,,,,,,,,,,NA,NA
2017-12-30,,,,,,,109970.0,,,,,0.0,,,,,,,,,,NA,NA
2017-12-31,,,,,,,109970.0,,,,,0.0,,,,,,,,,,NA,NA
2018-01-01,15321.932851764,2.69423548,37070084.08532266,,257079617264.841,84822222588.5437,109970.0,,,,,0.0,,,,,,,,,,NA,NA
2018-01-02,15583.885537759,2.92544313,43427068.022117935,,261505188675.858,93178531120.432,109970.0,,,,,0.0,,,,,,,,,,NA,NA
2018-01-03,15976.365194174,2.96026687,43330865.58443124,,268124738814.997,94681149308.5246,109970.0,4443718.0,,,,0.0,,,,,,,,,,NA,NA
2018-01-04,18336.922980169,2.94402195,52778452.01161448,,307774011688.352,97269228886.2531,109970.0,4443718.0,,,,0.0,,,,,,,,,,NA,NA
2018-01-05,18343.662493407,3.26196426,45654734.84115641,,307926110569.528,101852997666.873,109970.0,4443718.0,,,,0.0,,,,,,,,,,NA,NA
2018-01-06,17039.873913849,3.24692954,47617551.16714229,,286074127681.138,110167827718.611,109970.0,4443718.0,,,,0.0,,,,,,,,,,NA,NA
2018-01-07,15900.365021601,3.04278121,43107702.25476441,,266976271422.561,114769005376.762,109970.0,4443718.0,,,,0.0,,,,,,,,,,NA,NA
2018-01-08,15604.72340824,2.80152545,43217693.52964498,,262044268423.305,131894965357.881,109970.0,4443718.0,,,,0.0,,,,,,,,,,NA,NA
2018-01-09,15509.270126817,2.69017079,43463460.91553408,,260474112841.845,130387621608.286,109970.0,4443718.0,,,,0.0,,,,,,,,,,NA,NA
2018-01-10,14050.569606354,2.73334467,39275918.33250443,,236008991341.729,114526940296.893,109970.0,4446062.0,,,,0.0,,,,,,,,,,NA,NA
2018-01-11,14759.294629915,2.45400706,45900533.04382031,,247945818276.331,127538307119.981,109970.0,4446062.0,,,,0.0,,,,,,,,,,NA,NA
2018-01-12,15193.314897985,2.55762013,43189060.761108294,,255265724750.927,140419500475.928,109970.0,4446062.0,,,,0.0,,,,,,,,,,NA,NA
2018-01-13,14476.588971369,2.63127775,34613036.67379289,,243252295974.261,136747164703.849,109970.0,4446062.0,,,,0.0,,,,,,,,,,NA,NA
2018-01-14,14411.997706918,2.52606465,35004212.6176364,,242193794408.733,128980953671.981,109970.0,4446062.0,,,,0.0,,,,,,,,,,NA,NA
2018-01-15,11723.913520666,2.50804935,27962912.68758676,,197043955228.792,103677753320.31,109970.0,4446062.0,,,,0.0,,,,,,,,,,NA,NA
2018-01-16,11415.392844277,2.12079726,29610187.273806885,,191882616843.447,99216267384.4585,109970.0,4446062.0,,,,0.0,,,,,,,,,,NA,NA
2018-01-17,11569.424992086,2.07376393,31961655.148078326,,194496634731.302,100567876886.708,109970.0,4439145.0,,,,0.0,,,,,,,,,,NA,NA
2018-01-18,11758.469332765,2.09352287,33151799.45628633,,197698672432.581,101640355096.624,109970.0,4439145.0,,,,0.0,,,,,,,,,,NA,NA
2018-01-19,13260.271187279,2.129939,33866599.93388235,,222978421656.463,113899479853.586,109970.0,4439145.0,,,,0.0,,,,,,,,,,NA,NA
2018-01-20,11703.50486286,2.37080852,31065820.729932338,,196828374433.092,102337202453.458,109970.0,4439145.0,,,,0.0,,,,,,,,,,NA,NA
2018-01-21,10991.59501308,2.12617327,29466957.04329343,,184878210439.398,97186332455.0951,109970.0,4439145.0,,,,0.0,,,,,,,,,,NA,NA
2018-01-22,10894.00090534,2.00268788,26168616.179714907,,183260375707.762,96359326865.8716,30109970.0,4439145.0,,,,272.80167318359554,,,,,,,,,,NA,NA
2018-01-23,11277.115970449,2.02766184,28175400.671711497,,189730563330.713,102717867498.029,30109970.0,4439145.0,,,,272.80167318359554,,,,,,,,,,NA,NA
2018-01-24,11225.254456885,2.09753554,27877898.104128506,,188880475665.027,102976145173.289,30109970.02,4441317.0,,,,272.80167336546333,,,,,,,,,,NA,NA
2018-01-25,11044.907236574,2.08000559,24253008.886846583,,185867144988.132,101975238868.218,30109970.02,4441317.0,,,,272.80167336546333,,,,,,,,,,NA,NA
