date,btc_score,regime,action
2017-12-04,,NA,NA
2017-12-11,,NA,NA
2017-12-18,,NA,NA
2017-12-25,,NA,NA
2018-01-01,,NA,NA
2018-01-08,,NA,NA
2018-01-15,,NA,NA
2018-01-22,,NA,NA
2018-01-29,,NA,NA
2018-02-05,,NA,NA
2018-02-12,,NA,NA
2018-02-19,,NA,NA
2018-02-26,,NA,NA
2018-03-05,,NA,NA
2018-03-12,,NA,NA
2018-03-19,,NA,NA
2018-03-26,,NA,NA
2018-04-02,,NA,NA
2018-04-09,,NA,NA
2018-04-16,,NA,NA
2018-04-23,,NA,NA
2018-04-30,,NA,NA
2018-05-07,,NA,NA
2018-05-14,,NA,NA
2018-05-21,,NA,NA
2018-05-28,,NA,NA
2018-06-04,,NA,NA
2018-06-11,,NA,NA
2018-06-18,,NA,NA
2018-06-25,,NA,NA
2018-07-02,3.148382892665771e-06,BEAR,EXIT
2018-07-09,0.0003018496206432257,BEAR,EXIT
2018-07-16,0.000969245631898857,BEAR,EXIT
2018-07-23,0.034219194125617976,BEAR,EXIT
2018-07-30,0.040865333807730435,BEAR,EXIT
2018-08-06,10.602997281250584,BEAR,EXIT
2018-08-13,11.636466151103832,BEAR,EXIT
2018-08-20,5.197754668154128,BEAR,EXIT
2018-08-27,7.902349851028105,BEAR,EXIT
2018-09-03,9.70629319503756,BEAR,EXIT
2018-09-10,7.997295159614092,BEAR,EXIT
2018-09-17,6.547171340336845,BEAR,EXIT
2018-09-24,9.802097484584525,BEAR,EXIT
2018-10-01,14.512715369969843,BEAR,EXIT
2018-10-08,14.951185143689674,BEAR,EXIT
2018-10-15,19.900412541217488,BEAR,EXIT
2018-10-22,17.14900156992674,BEAR,EXIT
2018-10-29,15.972744789737648,BEAR,EXIT
2018-11-05,16.306719916474023,BEAR,EXIT
2018-11-12,17.688449823060264,BEAR,EXIT
2018-11-19,19.232387410658756,BEAR,EXIT
2018-11-26,17.817665261892635,BEAR,EXIT
2018-12-03,16.56367236093322,BEAR,EXIT
2018-12-10,16.32634626399982,BEAR,EXIT
2018-12-17,14.10250074642883,BEAR,EXIT
2018-12-24,15.547410127068444,BEAR,EXIT
2018-12-31,21.416980599150634,BEAR,EXIT
2019-01-07,21.834353515393925,BEAR,EXIT
2019-01-14,27.998782034873884,BEAR,EXIT
2019-01-21,24.57864025012266,BEAR,EXIT
2019-01-28,23.16266267182819,BEAR,EXIT
2019-02-04,20.732484902907782,BEAR,EXIT
2019-02-11,21.81392423822887,BEAR,EXIT
2019-02-18,27.164563747722507,BEAR,EXIT
2019-02-25,35.582907836850005,NEUTRAL,HOLD
2019-03-04,33.8580294415711,BEAR,EXIT
2019-03-11,31.541200655596636,BEAR,EXIT
2019-03-18,35.97665619455687,NEUTRAL,HOLD
2019-03-25,42.00823531700517,NEUTRAL,HOLD
2019-04-01,38.8361451939818,NEUTRAL,HOLD
2019-04-08,42.87747359102981,NEUTRAL,HOLD
2019-04-15,69.1216166343003,BULL,DEPLOY_ALTS
2019-04-22,62.833602335046024,BULL,DEPLOY_ALTS
2019-04-29,66.2503533924058,BULL,DEPLOY_ALTS
2019-05-06,66.04599278831263,BULL,DEPLOY_ALTS
2019-05-13,70.84363028683163,BULL,DEPLOY_ALTS
2019-05-20,78.45791059369579,BULL,DEPLOY_ALTS
2019-05-27,76.6951549309161,BULL,DEPLOY_ALTS
2019-06-03,79.71358664876276,BULL,DEPLOY_ALTS
2019-06-10,64.11622010932761,BULL,DEPLOY_ALTS
2019-06-17,66.70003061372898,BULL,DEPLOY_ALTS
2019-06-24,73.30953088393564,BULL,DEPLOY_ALTS
2019-07-01,79.09965863286237,BULL,DEPLOY_ALTS
2019-07-08,58.00909129708327,NEUTRAL,HOLD
2019-07-15,71.38607185721288,BULL,DEPLOY_ALTS
2019-07-22,56.14346178813542,NEUTRAL,HOLD
2019-07-29,53.374430565900774,NEUTRAL,HOLD
2019-08-05,48.825018893175304,NEUTRAL,HOLD
2019-08-12,59.23823013448672,NEUTRAL,HOLD
2019-08-19,54.6025201162109,NEUTRAL,HOLD
