date,btc_score,regime,action
2017-12-04,,NA,NA
2017-12-11,,NA,NA
2017-12-18,,NA,NA
2017-12-25,,NA,NA
2018-01-01,,NA,NA
2018-01-08,,NA,NA
2018-01-15,,NA,NA
2018-01-22,,NA,NA
2018-01-29,,NA,NA
2018-02-05,,NA,NA
2018-02-12,,NA,NA
2018-02-19,,NA,NA
2018-02-26,,NA,NA
2018-03-05,,NA,NA
2018-03-12,,NA,NA
2018-03-19,,NA,NA
2018-03-26,,NA,NA
2018-04-02,,NA,NA
2018-04-09,,NA,NA
2018-04-16,,NA,NA
2018-04-23,,NA,NA
2018-04-30,,NA,NA
2018-05-07,,NA,NA
2018-05-14,,NA,NA
2018-05-21,,NA,NA
2018-05-28,,NA,NA
2018-06-04,,NA,NA
2018-06-11,,NA,NA
2018-06-18,,NA,NA
2018-06-25,,NA,NA
2018-07-02,3.148382892665771e-06,BEAR,EXIT
2018-07-09,0.0003018496206432257,BEAR,EXIT
2018-07-16,0.000969245631898857,BEAR,EXIT
2018-07-23,0.034219194125617976,BEAR,EXIT
2018-07-30,0.040865333807730435,BEAR,EXIT
2018-08-06,10.602997281250584,BEAR,EXIT
2018-08-13,20.71527748818221,BEAR,EXIT
2018-08-20,18.010127827633443,BEAR,EXIT
2018-08-27,4.390194361682281,BEAR,EXIT
2018-09-03,15.327411087615546,BEAR,EXIT
2018-09-10,23.01321744267362,BEAR,EXIT
2018-09-17,12.921397036647011,BEAR,EXIT
2018-09-24,37.48077360097589,NEUTRAL,HOLD
2018-10-01,38.15996644578797,NEUTRAL,HOLD
2018-10-08,34.51904110331357,BEAR,EXIT
2018-10-15,31.49412577524346,BEAR,EXIT
2018-10-22,29.895434273065117,BEAR,EXIT
2018-10-29,30.176739216020117,BEAR,EXIT
2018-11-05,39.70567097106673,NEUTRAL,HOLD
2018-11-12,29.188436520820705,BEAR,EXIT
2018-11-19,30.062072927383895,BEAR,EXIT
2018-11-26,33.28199554462912,BEAR,EXIT
2018-12-03,10.727747332864212,BEAR,EXIT
2018-12-10,28.68699063275023,BEAR,EXIT
2018-12-17,19.480030145161845,BEAR,EXIT
2018-12-24,19.30577750123536,BEAR,EXIT
2018-12-31,43.77565938943811,NEUTRAL,HOLD
2019-01-07,32.44409321987862,BEAR,EXIT
2019-01-14,35.39942192014092,NEUTRAL,HOLD
2019-01-21,31.901718694207972,BEAR,EXIT
2019-01-28,30.044002376609487,BEAR,EXIT
2019-02-04,29.43410780396195,BEAR,EXIT
2019-02-11,32.800366290513416,BEAR,EXIT
2019-02-18,33.92118357387526,BEAR,EXIT
2019-02-25,42.80013585951865,NEUTRAL,HOLD
2019-03-04,29.318136058849838,BEAR,EXIT
2019-03-11,27.66659633572068,BEAR,EXIT
2019-03-18,33.07954356705336,BEAR,EXIT
2019-03-25,37.771402737980395,NEUTRAL,HOLD
2019-04-01,45.66448674908308,NEUTRAL,HOLD
2019-04-08,48.57998051923496,NEUTRAL,HOLD
2019-04-15,63.86572239254835,BULL,DEPLOY_ALTS
2019-04-22,58.71531841943287,NEUTRAL,HOLD
2019-04-29,62.032488646963536,BULL,DEPLOY_ALTS
2019-05-06,63.0027549917687,BULL,DEPLOY_ALTS
2019-05-13,60.857712121144736,BULL,DEPLOY_ALTS
2019-05-20,66.12459042947286,BULL,DEPLOY_ALTS
2019-05-27,58.811223862779265,NEUTRAL,HOLD
2019-06-03,60.85512881359294,BULL,DEPLOY_ALTS
2019-06-10,57.90748835970795,NEUTRAL,HOLD
2019-06-17,58.48410865807155,NEUTRAL,HOLD
2019-06-24,70.78580827024814,BULL,DEPLOY_ALTS
2019-07-01,74.97261106406417,BULL,DEPLOY_ALTS
2019-07-08,57.05718561364609,NEUTRAL,HOLD
2019-07-15,64.27958647922347,BULL,DEPLOY_ALTS
2019-07-22,52.52228285162861,NEUTRAL,HOLD
2019-07-29,50.364381131093175,NEUTRAL,HOLD
2019-08-05,50.59192522430312,NEUTRAL,HOLD
2019-08-12,54.843074807977224,NEUTRAL,HOLD
2019-08-19,51.570543613950626,NEUTRAL,HOLD
