label,period,n_days,ret,ann_ret,sharpe,max_dd,start_val,end_val
Option A,2020 COVID + recovery,366,0.3760733654582469,0.3751734764653052,1.5818303824565971,-0.12566951780486327,100000.0,137607.33654582468
Option A,2021 bull cycle peak,365,0.08139275042238214,0.08145071003037097,0.22898360797388415,-0.3229591680583147,137607.33654582468,148807.57614558775
Option A,2022 bear (Luna/FTX),365,-0.6540767367680174,-0.6543281595988137,-1.0258825084703331,-0.6707708975525575,153615.03061171938,53139.01267068687
Option A,2023 recovery,365,1.5888022000987982,1.5904893636627668,4.409589558112126,-0.18523818417251384,53380.845093643475,138192.44922155736
Option A,2024 ETF + halving rally,366,0.08644657264839406,0.08626199850525973,1.1768714389465822,-0.040810923031335926,138192.44922155736,150138.71282264823
Option A,2025 Trump rally peak,365,-0.008037879234414458,-0.008043362430617651,-0.0692825507291509,-0.0872586561581085,150138.71282264823,148931.91598056935
Option A,2026 YTD drawdown,125,-0.0884692457126085,-0.23712775515422835,-0.4390809978614119,-0.352075783268425,150986.6847431707,137629.006631295
Option B,2020 COVID + recovery,366,0.7363717325967141,0.7344094693107357,2.9890086237495557,-0.10232261451411696,100000.0,173637.1732596714
Option B,2021 bull cycle peak,365,0.27122814341524926,0.27143711521106373,0.47467118333828273,-0.4687611852210563,175609.7736547742,223240.08652873078
Option B,2022 bear (Luna/FTX),365,0.0,0.0,0.0,0.0,223240.08652873078,223240.08652873078
Option B,2023 recovery,365,0.024446988211901166,0.024463935893193733,0.3005407575962254,-0.043836973705735874,223240.08652873078,228697.63429252247
Option B,2024 ETF + halving rally,366,0.48659568723143787,0.4853883530926335,1.292009414731895,-0.20247120471082505,239320.14102600477,355772.2895168782
Option B,2025 Trump rally peak,365,0.03640956228891601,0.036434949236344494,0.2300359083291247,-0.12388725811836773,359106.4417530978,372181.3501124582
Option B,2026 YTD drawdown,125,0.0,0.0,0.0,0.0,372181.3501124582,372181.3501124582
Option D,2020 COVID + recovery,366,0.0,0.0,0.0,0.0,100000.0,100000.0
Option D,2021 bull cycle peak,365,0.12083602768050716,0.12092360590534579,0.45846007744186684,-0.22020623261114092,100000.0,112083.60276805072
Option D,2022 bear (Luna/FTX),365,0.0,0.0,0.0,0.0,112083.60276805072,112083.60276805072
Option D,2023 recovery,365,0.0020497152912311023,0.002051120644630089,0.02927881621112535,-0.043124305477069524,112083.60276805072,112313.34224254066
Option D,2024 ETF + halving rally,366,0.1722684967962027,0.1718867531400481,0.5895493426307741,-0.1610017585625623,117530.05223572443,137776.77766275188
Option D,2025 Trump rally peak,365,0.0741533345860681,0.07420596405883129,0.44754247954091164,-0.1238872581183678,137776.77766275188,147993.38515496824
Option D,2026 YTD drawdown,125,0.0,0.0,0.0,0.0,147993.38515496824,147993.38515496824
BTC B&H,2020 COVID + recovery,366,3.0343909036217047,3.0228758279545582,4.300774831205443,-0.5127745899878445,100000.0,403439.0903621705
BTC B&H,2021 bull cycle peak,365,0.5780679681704708,0.5785611388112533,0.7196016837118561,-0.528570764469335,408022.3492007499,643886.9995713697
BTC B&H,2022 bear (Luna/FTX),365,-0.6540767367680177,-0.6543281595988141,-1.0258825084703334,-0.6707708975525575,664688.7457724167,229931.29997116787
BTC B&H,2023 recovery,365,1.5402190728908622,1.5418415908881333,3.515483359255369,-0.20074759457795296,230977.70336842674,586733.9675090056
BTC B&H,2024 ETF + halving rally,366,1.11706250299367,1.1138111920047065,2.110771310659417,-0.2623118556980687,613986.4816852355,1299847.7577208218
BTC B&H,2025 Trump rally peak,365,-0.07272400851988792,-0.07277196144185227,-0.173535591924447,-0.321309262741309,1312029.3987194367,1216613.361548621
BTC B&H,2026 YTD drawdown,125,-0.08846924571260961,-0.23712775515423112,-0.4390809978614173,-0.35207578326842487,1233398.6094588118,1124280.7648170092
