mode,bull_threshold,bear_threshold,final_value,ann_return,sharpe,max_drawdown,calmar
Option A,50,30,196055.0,0.112,0.239,-0.7327,0.153
Option A,55,32,150700.0,0.0668,0.162,-0.7279,0.092
Option A,60,35,137629.0,0.0517,0.142,-0.6907,0.075
Option A,65,38,54078.0,-0.0924,-0.302,-0.7145,-0.129
Option A,70,40,97500.0,-0.004,-0.015,-0.5119,-0.008
Option B,50,30,376955.0,0.2328,0.694,-0.4498,0.517
Option B,55,32,305916.0,0.1928,0.61,-0.4808,0.401
Option B,60,35,372181.0,0.2303,0.774,-0.4688,0.491
Option B,65,38,249844.0,0.1554,0.602,-0.267,0.582
Option B,70,40,156161.0,0.0728,0.378,-0.2541,0.287
Option D,50,30,418855.0,0.2534,0.853,-0.4516,0.561
Option D,55,32,235262.0,0.1444,0.646,-0.2541,0.569
Option D,60,35,147993.0,0.0638,0.37,-0.2202,0.29
Option D,65,38,118282.0,0.0268,0.219,-0.1873,0.143
Option D,70,40,100023.0,0.0,0.001,-0.15,0.0
BTC B&H,-1,-1,1124281.0,0.4646,0.772,-0.7672,0.606
