run_id,rebalance_day,bull_threshold,dropped_assets,sharpe,max_dd,ann_return,final_equity
1,Mon,57,"BNB, HOOD",0.1339061700438291,-0.5313475854587438,0.0709020183107143,1.346780855344727
2,Tue,62,CRCL,0.8346414347843083,-0.32404426083438714,0.31112372346448947,3.2456188208215444
3,Mon,61,"SOL, HOOD",0.590063875964167,-0.3852815297398343,0.26015382178239355,2.731846200142752
4,Mon,58,COIN,1.0422253370757166,-0.3159672856657461,0.46845972121965285,5.3113887701491
5,Mon,61,CRCL,0.9627989860246863,-0.3240442608343874,0.3641963153640433,3.8565204337192642
6,Thu,58,"COIN, HYPE",0.9346613695859376,-0.3335774574946068,0.38150638292480865,4.073758484183529
7,Mon,63,CRCL,0.7846891982171424,-0.3240442608343872,0.2916048605019217,3.0407915208087646
8,Thu,59,"BNB, HOOD",-0.17846122638241607,-0.7212020816092333,-0.08960419380575313,0.6649796996724847
9,Wed,57,XMR,1.4440940195605307,-0.300378001939598,0.6099690217223663,7.9224728279227685
10,Mon,59,"COIN, HYPE",0.851960592911277,-0.32940288664437034,0.3422439474495502,3.593975950914543
11,Mon,62,"COIN, SOL",1.0688333010248385,-0.26997163107753297,0.45727776415438104,5.1378351135305
12,Thu,57,"HOOD, CRCL",0.8751446393126054,-0.33177807982940566,0.4328848064144639,4.774393885085064
13,Wed,61,CRCL,0.9627989860246863,-0.3240442608343874,0.3641963153640433,3.8565204337192642
14,Mon,57,HOOD,0.9310720521053205,-0.33177807982940566,0.4606681198438298,5.189988008519355
15,Wed,57,HOOD,0.9310720521053205,-0.33177807982940566,0.4606681198438298,5.189988008519355
16,Mon,60,"XMR, CRCL",1.208631154648241,-0.30037800193959796,0.4862396144077932,5.59660353972473
17,Wed,58,"HYPE, BNB",0.4371924226271749,-0.38198687791791774,0.18378380684436046,2.0818675739320986
18,Wed,62,COIN,0.9379287858287138,-0.31596728566574617,0.38302175399507865,4.093214926755734
19,Tue,61,BNB,0.36300175044798194,-0.4694018224610089,0.14589784717733445,1.807412144166231
20,Thu,60,"CRCL, HOOD",0.7001843927999438,-0.36734411046179455,0.31898993070276904,3.3311023072009758
21,Tue,62,"HOOD, SOL",0.5723003806990649,-0.38528152973983437,0.24793765134853585,2.6185995561737774
22,Tue,63,HOOD,0.6828723838076058,-0.4155908504617604,0.30337486086345433,3.163071837551765
23,Wed,60,"SOL, BNB",0.15635031693172716,-0.4270228535661005,0.07064379947708832,1.34537005679776
24,Wed,58,"XMR, CRCL",1.3337967993211264,-0.30037800193959807,0.5593389040336372,6.8952363648909145
25,Thu,58,"BNB, HOOD",-0.023905006463909088,-0.6661648366175549,-0.012286484513099993,0.9476882257395796
26,Wed,62,"COIN, XMR",1.0494494683332858,-0.2753747375417111,0.45353637742524566,5.080751720173468
27,Wed,58,COIN,1.0422253370757166,-0.3159672856657461,0.46845972121965285,5.3113887701491
28,Thu,57,HOOD,0.9310720521053205,-0.33177807982940566,0.4606681198438298,5.189988008519355
29,Mon,58,HOOD,0.7691667350574998,-0.3724282305702573,0.3750930869929676,3.9922026906705286
30,Thu,61,XMR,0.9929471535373716,-0.30037800193959807,0.3934560614579914,4.229135100767068
31,Thu,61,"COIN, HYPE",0.814853784149608,-0.34428855480092185,0.31677306925336235,3.30683794965393
32,Mon,62,CRCL,0.8346414347843083,-0.32404426083438714,0.31112372346448947,3.2456188208215444
33,Wed,63,"SOL, HYPE",0.3568598260674374,-0.25396742130153876,0.11285240074527136,1.5915665778233052
34,Thu,58,"SOL, CRCL",0.9956898599242359,-0.2539674213015388,0.37796444379756355,4.028559839054354
35,Wed,61,COIN,1.066945065033179,-0.3159672856657462,0.44122199610967083,4.896309163077191
36,Mon,63,"HOOD, CRCL",0.6227938888429144,-0.4155908504617604,0.2763741817780858,2.887997009738827
37,Tue,58,"HOOD, BNB",-0.023905006463909088,-0.6661648366175549,-0.012286484513099993,0.9476882257395796
38,Mon,61,"XMR, SOL",0.7719845039796438,-0.2957609734995282,0.2874560379525475,2.998568183787382
39,Mon,59,"BNB, SOL",0.03401899274419646,-0.4270228535661006,0.01590854727079205,1.0710042841322058
40,Tue,61,SOL,0.7884346515902263,-0.25396742130153876,0.27611195541819145,2.885419199824596
41,Thu,63,HOOD,0.6828723838076058,-0.4155908504617604,0.30337486086345433,3.163071837551765
42,Tue,58,"COIN, BNB",0.6216819247082944,-0.38555304860781087,0.27111479298896946,2.8366323524829484
43,Wed,61,"BNB, COIN",0.5617741456301442,-0.385553048607811,0.22076542156992285,2.379671192065387
44,Tue,62,"XMR, CRCL",0.8967356000511396,-0.30037800193959796,0.34632186664300635,3.641673338137702
45,Wed,60,"SOL, BNB",0.15635031693172716,-0.4270228535661005,0.07064379947708832,1.34537005679776
46,Tue,57,"SOL, COIN",1.2731351454100548,-0.2699716310775328,0.5994979928547386,7.700954188818451
47,Tue,61,SOL,0.7884346515902263,-0.25396742130153876,0.27611195541819145,2.885419199824596
48,Mon,62,BNB,0.22104715174461567,-0.4694018224610091,0.0860088861393804,1.4313221008930896
49,Mon,57,"SOL, COIN",1.2731351454100548,-0.2699716310775328,0.5994979928547386,7.700954188818451
50,Tue,59,"BNB, COIN",0.5109994624752701,-0.385553048607811,0.219516835163585,2.369111160337588
51,Tue,62,"BNB, XMR",0.44849026220870425,-0.4232034251369884,0.19477292145230218,2.1671756526378663
52,Thu,58,SOL,0.7486847229471882,-0.2539674213015388,0.29446077289270445,3.0701216100944064
53,Thu,59,"XMR, HOOD",0.47158366355302195,-0.4910364874050077,0.24671469961331893,2.607464856260291
54,Mon,62,SOL,0.6490194481470484,-0.25396742130153876,0.22281364261213987,2.397072650818569
55,Thu,62,"HOOD, SOL",0.5723003806990649,-0.38528152973983437,0.24793765134853585,2.6185995561737774
56,Tue,58,COIN,1.0422253370757166,-0.3159672856657461,0.46845972121965285,5.3113887701491
57,Thu,58,"BNB, HYPE",0.4371924226271749,-0.38198687791791774,0.18378380684436046,2.0818675739320986
58,Thu,58,XMR,1.2899699862400735,-0.30037800193959807,0.5396450141557148,6.524673157753003
