momentum_weeks,bull_threshold,funding_w,momentum_w,sharpe,max_dd,ann_return,equity,calmar,traded_weeks,bull_weeks,time_in_market
7,55,0.45,0.55,1.46,-35.1,60.9,7.91,1.73,57,100,25.1
10,50,0.55,0.45,1.46,-33.7,77.7,12.16,2.31,69,118,30.4
7,50,0.45,0.55,1.42,-33.1,64.2,8.62,1.94,69,118,30.4
10,50,0.6,0.4,1.42,-35.4,75.6,11.56,2.14,69,118,30.4
7,50,0.5,0.5,1.38,-33.4,61.5,8.04,1.84,69,118,30.4
7,55,0.5,0.5,1.38,-36.6,56.8,7.06,1.55,57,100,25.1
10,55,0.55,0.45,1.35,-36.6,68.7,9.7,1.87,57,100,25.1
7,60,0.45,0.55,1.31,-27.2,48.8,5.63,1.79,38,76,16.7
10,55,0.6,0.4,1.3,-39.0,66.7,9.21,1.71,57,100,25.1
7,55,0.55,0.45,1.26,-42.3,52.7,6.3,1.24,57,100,25.1
7,55,0.6,0.4,1.26,-41.8,53.8,6.49,1.29,57,100,25.1
7,50,0.6,0.4,1.22,-38.1,55.0,6.72,1.44,69,118,30.4
7,50,0.55,0.45,1.21,-39.1,53.9,6.51,1.38,69,118,30.4
3,50,0.6,0.4,1.19,-26.8,58.5,7.4,2.18,69,118,30.4
3,55,0.6,0.4,1.19,-38.9,55.4,6.8,1.43,57,100,25.1
3,55,0.45,0.55,1.17,-27.8,50.8,5.96,1.83,57,100,25.1
3,50,0.45,0.55,1.15,-27.8,52.9,6.34,1.9,69,118,30.4
7,60,0.5,0.5,1.15,-27.3,42.3,4.63,1.55,38,76,16.7
7,60,0.55,0.45,1.13,-31.9,42.0,4.59,1.32,38,76,16.7
8,50,0.55,0.45,1.13,-38.4,51.0,6.0,1.33,69,118,30.4
3,50,0.55,0.45,1.12,-27.1,53.7,6.48,1.98,69,118,30.4
6,55,0.55,0.45,1.12,-40.5,52.2,6.2,1.29,57,100,25.1
3,55,0.55,0.45,1.11,-37.8,50.7,5.94,1.34,57,100,25.1
7,60,0.6,0.4,1.1,-31.8,41.8,4.56,1.31,38,76,16.7
8,50,0.6,0.4,1.1,-38.4,50.4,5.89,1.31,69,118,30.4
8,55,0.55,0.45,1.1,-42.6,46.8,5.3,1.1,57,100,25.1
3,50,0.5,0.5,1.09,-27.5,49.3,5.71,1.79,69,118,30.4
8,50,0.5,0.5,1.09,-33.8,50.2,5.86,1.49,69,118,30.4
6,55,0.6,0.4,1.07,-40.6,48.5,5.57,1.2,57,100,25.1
8,55,0.6,0.4,1.07,-42.6,46.2,5.2,1.08,57,100,25.1
8,60,0.55,0.45,1.06,-34.2,40.5,4.38,1.18,38,76,16.7
5,55,0.6,0.4,1.05,-40.1,47.9,5.48,1.19,57,100,25.1
6,50,0.55,0.45,1.05,-36.5,51.7,6.11,1.41,69,118,30.4
8,50,0.45,0.55,1.04,-32.1,48.5,5.58,1.51,69,118,30.4
10,60,0.55,0.45,1.04,-33.7,48.7,5.6,1.45,38,76,16.7
3,55,0.5,0.5,1.03,-32.5,44.3,4.92,1.36,57,100,25.1
8,60,0.6,0.4,1.03,-35.8,40.1,4.33,1.12,38,76,16.7
10,60,0.6,0.4,1.03,-35.4,48.3,5.54,1.37,38,76,16.7
6,60,0.55,0.45,1.02,-36.5,42.8,4.7,1.17,38,76,16.7
3,60,0.6,0.4,1.01,-26.8,43.1,4.75,1.61,38,76,16.7
3,60,0.45,0.55,1.01,-27.8,40.8,4.42,1.46,38,76,16.7
